ámbitoterritorial,sexo,relaciónconlaactividadeconómic,total
Municipios de 101 a 200 hab.,Mujeres,Total,60758
Municipios de 101 a 200 hab.,Mujeres,Económicamente activa (Total),6391
Municipios de 101 a 200 hab.,Mujeres,Económicamente activa (Ocupados),5182
Municipios de 101 a 200 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),865
Municipios de 101 a 200 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),345
Municipios de 101 a 200 hab.,Mujeres,Económicamente inactiva,54367
Municipios de 101 a 200 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de menos de 101 hab.,Ambos sexos,Total,34319
Municipios de menos de 101 hab.,Ambos sexos,Económicamente activa (Total),12224
Municipios de menos de 101 hab.,Ambos sexos,Económicamente activa (Ocupados),11356
Municipios de menos de 101 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),574
Municipios de menos de 101 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),294
Municipios de menos de 101 hab.,Ambos sexos,Económicamente inactiva,21735
Municipios de menos de 101 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),359
Municipios de menos de 101 hab.,Varones,Total,17758
Municipios de menos de 101 hab.,Varones,Económicamente activa (Total),10634
Municipios de menos de 101 hab.,Varones,Económicamente activa (Ocupados),10046
Municipios de menos de 101 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),339
Municipios de menos de 101 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),250
Municipios de menos de 101 hab.,Varones,Económicamente inactiva,6764
Municipios de menos de 101 hab.,Varones,Contada aparte (Cumple el servicio militar),359
Municipios de menos de 101 hab.,Mujeres,Total,16561
Municipios de menos de 101 hab.,Mujeres,Económicamente activa (Total),1590
Municipios de menos de 101 hab.,Mujeres,Económicamente activa (Ocupados),1311
Municipios de menos de 101 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),235
Municipios de menos de 101 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),44
Municipios de menos de 101 hab.,Mujeres,Económicamente inactiva,14971
Municipios de menos de 101 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Distribución por zonas,Ambos sexos,Total,
Distribución por zonas,Ambos sexos,Económicamente activa (Total),
Distribución por zonas,Ambos sexos,Económicamente activa (Ocupados),
Distribución por zonas,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),
Distribución por zonas,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),
Distribución por zonas,Ambos sexos,Económicamente inactiva,
Distribución por zonas,Ambos sexos,Contada aparte (Cumple el servicio militar),
Distribución por zonas,Varones,Total,
Distribución por zonas,Varones,Económicamente activa (Total),
Distribución por zonas,Varones,Económicamente activa (Ocupados),
Distribución por zonas,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),
Distribución por zonas,Varones,Económicamente activa (Parados quehan trabajado anteriormente),
Distribución por zonas,Varones,Económicamente inactiva,
Distribución por zonas,Varones,Contada aparte (Cumple el servicio militar),
Distribución por zonas,Mujeres,Total,
Distribución por zonas,Mujeres,Económicamente activa (Total),
Distribución por zonas,Mujeres,Económicamente activa (Ocupados),
Distribución por zonas,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),
Distribución por zonas,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),
Distribución por zonas,Mujeres,Económicamente inactiva,
Distribución por zonas,Mujeres,Contada aparte (Cumple el servicio militar),
Zona urbana,Ambos sexos,Total,16885267
Zona urbana,Ambos sexos,Económicamente activa (Total),8148807
Zona urbana,Ambos sexos,Económicamente activa (Ocupados),6714273
Zona urbana,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),552922
Zona urbana,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),881612
Zona urbana,Ambos sexos,Económicamente inactiva,8554911
Zona urbana,Ambos sexos,Contada aparte (Cumple el servicio militar),181548
Zona urbana,Varones,Total,7998516
Zona urbana,Varones,Económicamente activa (Total),5953066
Zona urbana,Varones,Económicamente activa (Ocupados),5006850
Zona urbana,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),271427
Zona urbana,Varones,Económicamente activa (Parados quehan trabajado anteriormente),674788
Zona urbana,Varones,Económicamente inactiva,1863902
Zona urbana,Varones,Contada aparte (Cumple el servicio militar),181548
Zona urbana,Mujeres,Total,8886751
Zona urbana,Mujeres,Económicamente activa (Total),2195741
Zona urbana,Mujeres,Económicamente activa (Ocupados),1707422
Zona urbana,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),281495
Zona urbana,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),206824
Zona urbana,Mujeres,Económicamente inactiva,6691010
Zona urbana,Mujeres,Contada aparte (Cumple el servicio militar),
Entidades con más de 500.000 hab.,Ambos sexos,Total,5067266
Entidades con más de 500.000 hab.,Ambos sexos,Económicamente activa (Total),2467876
Entidades con más de 500.000 hab.,Ambos sexos,Económicamente activa (Ocupados),2055169
Entidades con más de 500.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),168348
Entidades con más de 500.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),244359
Entidades con más de 500.000 hab.,Ambos sexos,Económicamente inactiva,2542108
Entidades con más de 500.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),57282
Entidades con más de 500.000 hab.,Varones,Total,2339936
Entidades con más de 500.000 hab.,Varones,Económicamente activa (Total),1708432
Entidades con más de 500.000 hab.,Varones,Económicamente activa (Ocupados),1453395
Entidades con más de 500.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),78568
Entidades con más de 500.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),176469
Entidades con más de 500.000 hab.,Varones,Económicamente inactiva,574222
Entidades con más de 500.000 hab.,Varones,Contada aparte (Cumple el servicio militar),57282
Entidades con más de 500.000 hab.,Mujeres,Total,2727330
Entidades con más de 500.000 hab.,Mujeres,Económicamente activa (Total),759444
Entidades con más de 500.000 hab.,Mujeres,Económicamente activa (Ocupados),601774
Entidades con más de 500.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),89780
Entidades con más de 500.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),67890
Entidades con más de 500.000 hab.,Mujeres,Económicamente inactiva,1967886
Entidades con más de 500.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Total,5302205
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Económicamente activa (Total),2570263
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Económicamente activa (Ocupados),2099743
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),181385
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),289135
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Económicamente inactiva,2675695
Entidades de 100.001 a 500.00 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),56247
Entidades de 100.001 a 500.00 hab.,Varones,Total,2515420
Entidades de 100.001 a 500.00 hab.,Varones,Económicamente activa (Total),1881385
Entidades de 100.001 a 500.00 hab.,Varones,Económicamente activa (Ocupados),1571232
Entidades de 100.001 a 500.00 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),90107
Entidades de 100.001 a 500.00 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),220046
Entidades de 100.001 a 500.00 hab.,Varones,Económicamente inactiva,577788
Entidades de 100.001 a 500.00 hab.,Varones,Contada aparte (Cumple el servicio militar),56247
Entidades de 100.001 a 500.00 hab.,Mujeres,Total,2786785
Entidades de 100.001 a 500.00 hab.,Mujeres,Económicamente activa (Total),688878
Entidades de 100.001 a 500.00 hab.,Mujeres,Económicamente activa (Ocupados),523511
Entidades de 100.001 a 500.00 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),91278
Entidades de 100.001 a 500.00 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),69089
Entidades de 100.001 a 500.00 hab.,Mujeres,Económicamente inactiva,2097907
Entidades de 100.001 a 500.00 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Total,1873001
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Económicamente activa (Total),907118
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Económicamente activa (Ocupados),744105
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),61557
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),101456
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Económicamente inactiva,945461
Entidades de 50.001 a 100.00 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),20421
Entidades de 50.001 a 100.00 hab.,Varones,Total,894503
Entidades de 50.001 a 100.00 hab.,Varones,Económicamente activa (Total),677990
Entidades de 50.001 a 100.00 hab.,Varones,Económicamente activa (Ocupados),567956
Entidades de 50.001 a 100.00 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),30478
Entidades de 50.001 a 100.00 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),79556
Entidades de 50.001 a 100.00 hab.,Varones,Económicamente inactiva,196091
Entidades de 50.001 a 100.00 hab.,Varones,Contada aparte (Cumple el servicio militar),20421
Entidades de 50.001 a 100.00 hab.,Mujeres,Total,978499
Entidades de 50.001 a 100.00 hab.,Mujeres,Económicamente activa (Total),229128
Entidades de 50.001 a 100.00 hab.,Mujeres,Económicamente activa (Ocupados),176149
Entidades de 50.001 a 100.00 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),31079
Entidades de 50.001 a 100.00 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),21901
Entidades de 50.001 a 100.00 hab.,Mujeres,Económicamente inactiva,749370
Entidades de 50.001 a 100.00 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Total,4642794
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Económicamente activa (Total),2203550
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Económicamente activa (Ocupados),1815256
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),141632
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),246662
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Económicamente inactiva,2391647
Entidades de 10.001 a 50.00 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),47598
Entidades de 10.001 a 50.00 hab.,Varones,Total,2248657
Entidades de 10.001 a 50.00 hab.,Varones,Económicamente activa (Total),1685259
Entidades de 10.001 a 50.00 hab.,Varones,Económicamente activa (Ocupados),1414267
Entidades de 10.001 a 50.00 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),72274
Entidades de 10.001 a 50.00 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),198717
Entidades de 10.001 a 50.00 hab.,Varones,Económicamente inactiva,615800
Entidades de 10.001 a 50.00 hab.,Varones,Contada aparte (Cumple el servicio militar),47598
Entidades de 10.001 a 50.00 hab.,Mujeres,Total,2394137
Entidades de 10.001 a 50.00 hab.,Mujeres,Económicamente activa (Total),518291
Entidades de 10.001 a 50.00 hab.,Mujeres,Económicamente activa (Ocupados),400988
Entidades de 10.001 a 50.00 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),69358
Entidades de 10.001 a 50.00 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),47944
Entidades de 10.001 a 50.00 hab.,Mujeres,Económicamente inactiva,1875847
Entidades de 10.001 a 50.00 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Zona intermedia,Ambos sexos,Total,4633343
Zona intermedia,Ambos sexos,Económicamente activa (Total),2084042
Zona intermedia,Ambos sexos,Económicamente activa (Ocupados),1737169
Zona intermedia,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),125174
Zona intermedia,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),221699
Zona intermedia,Ambos sexos,Económicamente inactiva,2500466
Zona intermedia,Ambos sexos,Contada aparte (Cumple el servicio militar),48835
Zona intermedia,Varones,Total,2271439
Zona intermedia,Varones,Económicamente activa (Total),1655938
Zona intermedia,Varones,Económicamente activa (Ocupados),1402213
Zona intermedia,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),69200
Zona intermedia,Varones,Económicamente activa (Parados quehan trabajado anteriormente),184526
Zona intermedia,Varones,Económicamente inactiva,566666
Zona intermedia,Varones,Contada aparte (Cumple el servicio militar),48835
Zona intermedia,Mujeres,Total,2361904
Zona intermedia,Mujeres,Económicamente activa (Total),428104
Zona intermedia,Mujeres,Económicamente activa (Ocupados),334956
Zona intermedia,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),55974
Zona intermedia,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),37174
Zona intermedia,Mujeres,Económicamente inactiva,1933800
Zona intermedia,Mujeres,Contada aparte (Cumple el servicio militar),
Zona rural,Ambos sexos,Total,5814272
Zona rural,Ambos sexos,Económicamente activa (Total),2564176
Zona rural,Ambos sexos,Económicamente activa (Ocupados),2273139
Zona rural,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),123841
Zona rural,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),167196
Zona rural,Ambos sexos,Económicamente inactiva,3188486
Zona rural,Ambos sexos,Contada aparte (Cumple el servicio militar),61611
Zona rural,Varones,Total,2898226
Zona rural,Varones,Económicamente activa (Total),2019891
Zona rural,Varones,Económicamente activa (Ocupados),1805475
Zona rural,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),72198
Zona rural,Varones,Económicamente activa (Parados quehan trabajado anteriormente),142218
Zona rural,Varones,Económicamente inactiva,816724
Zona rural,Varones,Contada aparte (Cumple el servicio militar),61611
Zona rural,Mujeres,Total,2916046
Zona rural,Mujeres,Económicamente activa (Total),544285
Zona rural,Mujeres,Económicamente activa (Ocupados),467664
Zona rural,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),51643
Zona rural,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),24978
Zona rural,Mujeres,Económicamente inactiva,2371761
Zona rural,Mujeres,Contada aparte (Cumple el servicio militar),
