ámbitoterritorial,sexo,relaciónconlaactividadeconómic,total
Municipios de 500.001 a 1.000.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Total,5823792
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Económicamente activa (Total),2813785
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Económicamente activa (Ocupados),2312509
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),193572
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),307703
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Económicamente inactiva,2947287
Municipios de 100.001 a 500.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),62720
Municipios de 100.001 a 500.000 hab.,Varones,Total,2772511
Municipios de 100.001 a 500.000 hab.,Varones,Económicamente activa (Total),2071320
Municipios de 100.001 a 500.000 hab.,Varones,Económicamente activa (Ocupados),1739998
Municipios de 100.001 a 500.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),96026
Municipios de 100.001 a 500.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),235296
Municipios de 100.001 a 500.000 hab.,Varones,Económicamente inactiva,638470
Municipios de 100.001 a 500.000 hab.,Varones,Contada aparte (Cumple el servicio militar),62720
Municipios de 100.001 a 500.000 hab.,Mujeres,Total,3051281
Municipios de 100.001 a 500.000 hab.,Mujeres,Económicamente activa (Total),742464
Municipios de 100.001 a 500.000 hab.,Mujeres,Económicamente activa (Ocupados),572511
Municipios de 100.001 a 500.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),97546
Municipios de 100.001 a 500.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),72407
Municipios de 100.001 a 500.000 hab.,Mujeres,Económicamente inactiva,2308816
Municipios de 100.001 a 500.000 hab.,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Total,2449663
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Económicamente activa (Total),1166914
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Económicamente activa (Ocupados),957741
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),81803
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),127370
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Económicamente inactiva,1256985
Municipios de 50.001 a 100.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),25763
Municipios de 50.001 a 100.000 hab.,Varones,Total,1175169
Municipios de 50.001 a 100.000 hab.,Varones,Económicamente activa (Total),881810
Municipios de 50.001 a 100.000 hab.,Varones,Económicamente activa (Ocupados),738676
Municipios de 50.001 a 100.000 hab.,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),42024
Municipios de 50.001 a 100.000 hab.,Varones,Económicamente activa (Parados quehan trabajado anteriormente),101110
Municipios de 50.001 a 100.000 hab.,Varones,Económicamente inactiva,267596
Municipios de 50.001 a 100.000 hab.,Varones,Contada aparte (Cumple el servicio militar),25763
Municipios de 50.001 a 100.000 hab.,Mujeres,Total,1274493
Municipios de 50.001 a 100.000 hab.,Mujeres,Económicamente activa (Total),285104
Municipios de 50.001 a 100.000 hab.,Mujeres,Económicamente activa (Ocupados),219065
Municipios de 50.001 a 100.000 hab.,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),39779
Municipios de 50.001 a 100.000 hab.,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),26260
