sexo,relaciónmunicipio1970y1981,gruposdeedad,ocupadosparados,total
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Parados,13
VARONES,"Distinta CCAA, Total",TOTAL,Ocupados,467578
VARONES,"Distinta CCAA, Total",TOTAL,Parados,76599
VARONES,"Distinta CCAA, Total",de 16 a 24 años,Ocupados,62756
VARONES,"Distinta CCAA, Total",de 16 a 24 años,Parados,28698
VARONES,"Distinta CCAA, Total",de 25 a 34,Ocupados,199064
VARONES,"Distinta CCAA, Total",de 25 a 34,Parados,23675
VARONES,"Distinta CCAA, Total",de 35 a 44,Ocupados,112514
VARONES,"Distinta CCAA, Total",de 35 a 44,Parados,10641
VARONES,"Distinta CCAA, Total",de 45 a 54,Ocupados,64230
VARONES,"Distinta CCAA, Total",de 45 a 54,Parados,8800
VARONES,"Distinta CCAA, Total",de 55 a 64,Ocupados,27089
VARONES,"Distinta CCAA, Total",de 55 a 64,Parados,4613
VARONES,"Distinta CCAA, Total",de 65 y más,Ocupados,1925
VARONES,"Distinta CCAA, Total",de 65 y más,Parados,171
VARONES,Capital,TOTAL,Ocupados,174764
VARONES,Capital,TOTAL,Parados,22562
VARONES,Capital,de 16 a 24 años,Ocupados,15097
VARONES,Capital,de 16 a 24 años,Parados,7290
VARONES,Capital,de 25 a 34,Ocupados,74261
VARONES,Capital,de 25 a 34,Parados,7800
VARONES,Capital,de 35 a 44,Ocupados,52454
VARONES,Capital,de 35 a 44,Parados,4078
VARONES,Capital,de 45 a 54,Ocupados,23695
VARONES,Capital,de 45 a 54,Parados,2394
VARONES,Capital,de 55 a 64,Ocupados,8378
VARONES,Capital,de 55 a 64,Parados,948
VARONES,Capital,de 65 y más,Ocupados,878
VARONES,Capital,de 65 y más,Parados,52
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Ocupados,26227
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Parados,4613
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Ocupados,3248
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Parados,1807
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Ocupados,10029
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Parados,1471
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Ocupados,7465
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Parados,757
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Ocupados,4028
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Parados,370
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Ocupados,1356
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Parados,194
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Ocupados,101
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Parados,14
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Ocupados,39699
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Parados,7389
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Ocupados,5976
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Parados,2915
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Ocupados,15601
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Parados,2016
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Ocupados,9799
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Parados,1076
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Ocupados,5900
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Parados,970
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Ocupados,2287
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Parados,389
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Ocupados,137
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Parados,22
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Ocupados,226887
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Parados,42036
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Ocupados,38435
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Parados,16686
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Ocupados,99173
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Parados,12388
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Ocupados,42796
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Parados,4730
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Ocupados,30607
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Parados,5066
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Ocupados,15067
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Parados,3082
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Ocupados,809
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Parados,84
VARONES,"De Ceuta, Melilla y otros territorios",TOTAL,Ocupados,8475
VARONES,"De Ceuta, Melilla y otros territorios",TOTAL,Parados,1423
VARONES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Ocupados,980
VARONES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Parados,763
VARONES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Ocupados,2772
VARONES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Parados,326
VARONES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Ocupados,2210
VARONES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Parados,138
VARONES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Ocupados,1759
VARONES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Parados,140
VARONES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Ocupados,730
VARONES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Parados,67
VARONES,"De Ceuta, Melilla y otros territorios",de 65 y más,Ocupados,23
VARONES,"De Ceuta, Melilla y otros territorios",de 65 y más,Parados,
VARONES,Del extranjero,TOTAL,Ocupados,104057
VARONES,Del extranjero,TOTAL,Parados,23957
VARONES,Del extranjero,de 16 a 24 años,Ocupados,9109
VARONES,Del extranjero,de 16 a 24 años,Parados,6322
VARONES,Del extranjero,de 25 a 34,Ocupados,23506
VARONES,Del extranjero,de 25 a 34,Parados,4518
VARONES,Del extranjero,de 35 a 44,Ocupados,39648
VARONES,Del extranjero,de 35 a 44,Parados,6153
VARONES,Del extranjero,de 45 a 54,Ocupados,24351
VARONES,Del extranjero,de 45 a 54,Parados,5038
VARONES,Del extranjero,de 55 a 64,Ocupados,6744
VARONES,Del extranjero,de 55 a 64,Parados,1832
VARONES,Del extranjero,de 65 y más,Ocupados,698
VARONES,Del extranjero,de 65 y más,Parados,94
MUJERES,TOTAL,TOTAL,Ocupados,2510043
MUJERES,TOTAL,TOTAL,Parados,658087
MUJERES,TOTAL,de 16 a 24 años,Ocupados,740159
MUJERES,TOTAL,de 16 a 24 años,Parados,472386
MUJERES,TOTAL,de 25 a 34,Ocupados,671731
MUJERES,TOTAL,de 25 a 34,Parados,114755
MUJERES,TOTAL,de 35 a 44,Ocupados,388707
MUJERES,TOTAL,de 35 a 44,Parados,30793
MUJERES,TOTAL,de 45 a 54,Ocupados,392606
MUJERES,TOTAL,de 45 a 54,Parados,24963
MUJERES,TOTAL,de 55 a 64,Ocupados,267817
MUJERES,TOTAL,de 55 a 64,Parados,13970
MUJERES,TOTAL,de 65 y más,Ocupados,49022
MUJERES,TOTAL,de 65 y más,Parados,1220
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Ocupados,2091652
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Parados,551093
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Ocupados,613580
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Parados,404982
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Ocupados,505496
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Parados,85953
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Ocupados,325323
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Parados,24748
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Ocupados,352413
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Parados,21569
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Ocupados,249802
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Parados,12701
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Ocupados,45037
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Parados,1140
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Ocupados,418391
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Parados,106994
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Ocupados,126578
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Parados,67404
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Ocupados,166235
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Parados,28802
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Ocupados,63383
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Parados,6045
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Ocupados,40193
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Parados,3394
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Ocupados,18016
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Parados,1268
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Ocupados,3985
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Parados,80
MUJERES,Misma CCAA,TOTAL,Ocupados,210530
MUJERES,Misma CCAA,TOTAL,Parados,51797
MUJERES,Misma CCAA,de 16 a 24 años,Ocupados,64581
MUJERES,Misma CCAA,de 16 a 24 años,Parados,33471
MUJERES,Misma CCAA,de 25 a 34,Ocupados,87322
MUJERES,Misma CCAA,de 25 a 34,Parados,14080
MUJERES,Misma CCAA,de 35 a 44,Ocupados,29568
MUJERES,Misma CCAA,de 35 a 44,Parados,2393
MUJERES,Misma CCAA,de 45 a 54,Ocupados,18636
MUJERES,Misma CCAA,de 45 a 54,Parados,1276
MUJERES,Misma CCAA,de 55 a 64,Ocupados,8665
MUJERES,Misma CCAA,de 55 a 64,Parados,528
MUJERES,Misma CCAA,de 65 y más,Ocupados,1758
MUJERES,Misma CCAA,de 65 y más,Parados,49
MUJERES,"Misma Provincia, Total",TOTAL,Ocupados,176917
MUJERES,"Misma Provincia, Total",TOTAL,Parados,43765
MUJERES,"Misma Provincia, Total",de 16 a 24 años,Ocupados,57096
MUJERES,"Misma Provincia, Total",de 16 a 24 años,Parados,28809
MUJERES,"Misma Provincia, Total",de 25 a 34,Ocupados,72525
MUJERES,"Misma Provincia, Total",de 25 a 34,Parados,11458
MUJERES,"Misma Provincia, Total",de 35 a 44,Ocupados,23976
MUJERES,"Misma Provincia, Total",de 35 a 44,Parados,1942
MUJERES,"Misma Provincia, Total",de 45 a 54,Ocupados,15048
MUJERES,"Misma Provincia, Total",de 45 a 54,Parados,1054
MUJERES,"Misma Provincia, Total",de 55 a 64,Ocupados,6989
MUJERES,"Misma Provincia, Total",de 55 a 64,Parados,458
MUJERES,"Misma Provincia, Total",de 65 y más,Ocupados,1284
MUJERES,"Misma Provincia, Total",de 65 y más,Parados,45
MUJERES,Capital,TOTAL,Ocupados,60255
MUJERES,Capital,TOTAL,Parados,14874
MUJERES,Capital,de 16 a 24 años,Ocupados,17110
MUJERES,Capital,de 16 a 24 años,Parados,9212
MUJERES,Capital,de 25 a 34,Ocupados,27627
MUJERES,Capital,de 25 a 34,Parados,4393
MUJERES,Capital,de 35 a 44,Ocupados,8607
MUJERES,Capital,de 35 a 44,Parados,793
MUJERES,Capital,de 45 a 54,Ocupados,4363
MUJERES,Capital,de 45 a 54,Parados,305
MUJERES,Capital,de 55 a 64,Ocupados,2189
MUJERES,Capital,de 55 a 64,Parados,154
MUJERES,Capital,de 65 y más,Ocupados,360
MUJERES,Capital,de 65 y más,Parados,17
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Ocupados,12284
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Parados,3752
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Ocupados,3793
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Parados,2432
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Ocupados,5075
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Parados,1033
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Ocupados,1834
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Parados,167
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Ocupados,1025
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Parados,91
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Ocupados,460
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Parados,29
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Ocupados,97
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Parados,1
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Ocupados,19062
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Parados,5196
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Ocupados,5823
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Parados,3405
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Ocupados,8107
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Parados,1397
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Ocupados,2694
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Parados,222
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Ocupados,1600
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Parados,102
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Ocupados,690
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Parados,69
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Ocupados,148
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Parados,
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Ocupados,85315
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Parados,19944
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Ocupados,30370
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Parados,13761
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Ocupados,31716
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Parados,4635
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Ocupados,10840
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Parados,760
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Ocupados,8060
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Parados,556
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Ocupados,3650
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Parados,206
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Ocupados,679
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Parados,27
MUJERES,"Misma CCAA, distinta Provincia, Total",TOTAL,Ocupados,33613
MUJERES,"Misma CCAA, distinta Provincia, Total",TOTAL,Parados,8032
MUJERES,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Ocupados,7485
MUJERES,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Parados,4661
MUJERES,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Ocupados,14797
MUJERES,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Parados,2623
MUJERES,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Ocupados,5593
MUJERES,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Parados,451
MUJERES,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Ocupados,3588
MUJERES,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Parados,223
MUJERES,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Ocupados,1677
MUJERES,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Parados,70
MUJERES,"Misma CCAA, distinta Provincia, Total",de 65 y más,Ocupados,474
MUJERES,"Misma CCAA, distinta Provincia, Total",de 65 y más,Parados,4
MUJERES,Capital,TOTAL,Ocupados,11999
MUJERES,Capital,TOTAL,Parados,2366
MUJERES,Capital,de 16 a 24 años,Ocupados,1796
MUJERES,Capital,de 16 a 24 años,Parados,1190
MUJERES,Capital,de 25 a 34,Ocupados,5754
MUJERES,Capital,de 25 a 34,Parados,935
MUJERES,Capital,de 35 a 44,Ocupados,2278
MUJERES,Capital,de 35 a 44,Parados,129
MUJERES,Capital,de 45 a 54,Ocupados,1295
MUJERES,Capital,de 45 a 54,Parados,91
MUJERES,Capital,de 55 a 64,Ocupados,670
MUJERES,Capital,de 55 a 64,Parados,21
MUJERES,Capital,de 65 y más,Ocupados,206
MUJERES,Capital,de 65 y más,Parados,
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Ocupados,2199
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Parados,674
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Ocupados,416
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Parados,347
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Ocupados,936
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Parados,267
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Ocupados,394
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Parados,41
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Ocupados,296
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Parados,18
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Ocupados,123
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Parados,
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Ocupados,33
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Parados,
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Ocupados,3111
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Parados,952
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Ocupados,747
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Parados,612
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Ocupados,1285
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Parados,246
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Ocupados,535
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Parados,64
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Ocupados,366
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Parados,20
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Ocupados,125
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Parados,10
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Ocupados,52
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Parados,
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Ocupados,16304
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Parados,4041
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Ocupados,4525
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Parados,2512
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Ocupados,6822
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Parados,1175
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Ocupados,2385
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Parados,216
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Ocupados,1631
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Parados,94
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Ocupados,759
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Parados,39
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Ocupados,182
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Parados,4
MUJERES,"Distinta CCAA, Total",TOTAL,Ocupados,169618
MUJERES,"Distinta CCAA, Total",TOTAL,Parados,43348
MUJERES,"Distinta CCAA, Total",de 16 a 24 años,Ocupados,53590
MUJERES,"Distinta CCAA, Total",de 16 a 24 años,Parados,27748
MUJERES,"Distinta CCAA, Total",de 25 a 34,Ocupados,67106
MUJERES,"Distinta CCAA, Total",de 25 a 34,Parados,11952
MUJERES,"Distinta CCAA, Total",de 35 a 44,Ocupados,24724
MUJERES,"Distinta CCAA, Total",de 35 a 44,Parados,2082
MUJERES,"Distinta CCAA, Total",de 45 a 54,Ocupados,15482
MUJERES,"Distinta CCAA, Total",de 45 a 54,Parados,1122
MUJERES,"Distinta CCAA, Total",de 55 a 64,Ocupados,7049
MUJERES,"Distinta CCAA, Total",de 55 a 64,Parados,419
MUJERES,"Distinta CCAA, Total",de 65 y más,Ocupados,1666
MUJERES,"Distinta CCAA, Total",de 65 y más,Parados,24
MUJERES,Capital,TOTAL,Ocupados,63777
MUJERES,Capital,TOTAL,Parados,13982
MUJERES,Capital,de 16 a 24 años,Ocupados,10984
MUJERES,Capital,de 16 a 24 años,Parados,7139
MUJERES,Capital,de 25 a 34,Ocupados,29739
MUJERES,Capital,de 25 a 34,Parados,5182
MUJERES,Capital,de 35 a 44,Ocupados,12484
MUJERES,Capital,de 35 a 44,Parados,1060
MUJERES,Capital,de 45 a 54,Ocupados,6586
MUJERES,Capital,de 45 a 54,Parados,413
MUJERES,Capital,de 55 a 64,Ocupados,3057
MUJERES,Capital,de 55 a 64,Parados,181
MUJERES,Capital,de 65 y más,Ocupados,926
MUJERES,Capital,de 65 y más,Parados,6
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Ocupados,7634
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Parados,2489
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Ocupados,2083
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Parados,1580
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Ocupados,2895
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Parados,710
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Ocupados,1352
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Parados,133
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Ocupados,846
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Parados,28
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Ocupados,355
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Parados,38
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Ocupados,104
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Parados,
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Ocupados,12399
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Parados,4256
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Ocupados,4313
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Parados,2970
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Ocupados,4347
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Parados,978
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Ocupados,1879
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Parados,138
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Ocupados,1201
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Parados,110
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Ocupados,541
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Parados,59
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Ocupados,117
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Parados,
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Ocupados,85807
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Parados,22621
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Ocupados,36211
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Parados,16059
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Ocupados,30125
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Parados,5082
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Ocupados,9009
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Parados,750
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Ocupados,6848
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Parados,571
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Ocupados,3096
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Parados,141
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Ocupados,518
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Parados,17
MUJERES,"De Ceuta, Melilla y otros territorios",TOTAL,Ocupados,1851
MUJERES,"De Ceuta, Melilla y otros territorios",TOTAL,Parados,761
MUJERES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Ocupados,492
MUJERES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Parados,505
MUJERES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Ocupados,707
MUJERES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Parados,137
MUJERES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Ocupados,337
MUJERES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Parados,62
MUJERES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Ocupados,213
MUJERES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Parados,39
