tipodezona,actividad,añodelaboda,edaddelamujer,total
Total Nacional,ECON. INACTIVAS,Anterior a 1951,De 30 a 34 años,
Total Nacional,ECON. INACTIVAS,Anterior a 1951,De 35 a 39 años,
Total Nacional,ECON. INACTIVAS,Anterior a 1951,De 40 a 44 años,3.8
Total Nacional,ECON. INACTIVAS,Anterior a 1951,De 45 a 49 años,3.9
Total Nacional,ECON. INACTIVAS,Anterior a 1951,de 50 y más años,3.3
Zona rural,ECON. ACTIVAS,TOTAL,Total,2.3
Zona rural,ECON. ACTIVAS,TOTAL,De 15 a 19 años,.8
Zona rural,ECON. ACTIVAS,TOTAL,De 20 a 24 años,1
Zona rural,ECON. ACTIVAS,TOTAL,De 25 a 29 años,1.4
Zona rural,ECON. ACTIVAS,TOTAL,De 30 a 34 años,2
Zona rural,ECON. ACTIVAS,TOTAL,De 35 a 39 años,2.4
Zona rural,ECON. ACTIVAS,TOTAL,De 40 a 44 años,2.6
Zona rural,ECON. ACTIVAS,TOTAL,De 45 a 49 años,2.6
Zona rural,ECON. ACTIVAS,TOTAL,de 50 y más años,2.7
Zona rural,ECON. ACTIVAS,En 1981,Total,.1
Zona rural,ECON. ACTIVAS,En 1981,De 15 a 19 años,0
Zona rural,ECON. ACTIVAS,En 1981,De 20 a 24 años,.1
Zona rural,ECON. ACTIVAS,En 1981,De 25 a 29 años,.2
Zona rural,ECON. ACTIVAS,En 1981,De 30 a 34 años,.2
Zona rural,ECON. ACTIVAS,En 1981,De 35 a 39 años,.2
Zona rural,ECON. ACTIVAS,En 1981,De 40 a 44 años,.3
Zona rural,ECON. ACTIVAS,En 1981,De 45 a 49 años,.9
Zona rural,ECON. ACTIVAS,En 1981,de 50 y más años,.4
Zona rural,ECON. ACTIVAS,En 1980,Total,.5
Zona rural,ECON. ACTIVAS,En 1980,De 15 a 19 años,.7
Zona rural,ECON. ACTIVAS,En 1980,De 20 a 24 años,.4
Zona rural,ECON. ACTIVAS,En 1980,De 25 a 29 años,.4
Zona rural,ECON. ACTIVAS,En 1980,De 30 a 34 años,.4
Zona rural,ECON. ACTIVAS,En 1980,De 35 a 39 años,.7
Zona rural,ECON. ACTIVAS,En 1980,De 40 a 44 años,.5
Zona rural,ECON. ACTIVAS,En 1980,De 45 a 49 años,.9
Zona rural,ECON. ACTIVAS,En 1980,de 50 y más años,.6
Zona rural,ECON. ACTIVAS,En 1979,Total,.8
Zona rural,ECON. ACTIVAS,En 1979,De 15 a 19 años,.9
Zona rural,ECON. ACTIVAS,En 1979,De 20 a 24 años,.7
Zona rural,ECON. ACTIVAS,En 1979,De 25 a 29 años,.8
Zona rural,ECON. ACTIVAS,En 1979,De 30 a 34 años,1
Zona rural,ECON. ACTIVAS,En 1979,De 35 a 39 años,1.2
Zona rural,ECON. ACTIVAS,En 1979,De 40 a 44 años,1.1
Zona rural,ECON. ACTIVAS,En 1979,De 45 a 49 años,1.2
Zona rural,ECON. ACTIVAS,En 1979,de 50 y más años,1.2
Zona rural,ECON. ACTIVAS,En 1978,Total,1.2
Zona rural,ECON. ACTIVAS,En 1978,De 15 a 19 años,1.3
Zona rural,ECON. ACTIVAS,En 1978,De 20 a 24 años,1
Zona rural,ECON. ACTIVAS,En 1978,De 25 a 29 años,.9
Zona rural,ECON. ACTIVAS,En 1978,De 30 a 34 años,1.4
Zona rural,ECON. ACTIVAS,En 1978,De 35 a 39 años,1.6
Zona rural,ECON. ACTIVAS,En 1978,De 40 a 44 años,1.8
Zona rural,ECON. ACTIVAS,En 1978,De 45 a 49 años,1.7
Zona rural,ECON. ACTIVAS,En 1978,de 50 y más años,1.9
Zona rural,ECON. ACTIVAS,En 1977,Total,1.5
Zona rural,ECON. ACTIVAS,En 1977,De 15 a 19 años,1.6
Zona rural,ECON. ACTIVAS,En 1977,De 20 a 24 años,1.3
Zona rural,ECON. ACTIVAS,En 1977,De 25 a 29 años,1.2
Zona rural,ECON. ACTIVAS,En 1977,De 30 a 34 años,1.4
Zona rural,ECON. ACTIVAS,En 1977,De 35 a 39 años,1.7
Zona rural,ECON. ACTIVAS,En 1977,De 40 a 44 años,2.1
Zona rural,ECON. ACTIVAS,En 1977,De 45 a 49 años,2.6
Zona rural,ECON. ACTIVAS,En 1977,de 50 y más años,2.7
Zona rural,ECON. ACTIVAS,En 1976,Total,1.6
Zona rural,ECON. ACTIVAS,En 1976,De 15 a 19 años,1.6
Zona rural,ECON. ACTIVAS,En 1976,De 20 a 24 años,1.5
Zona rural,ECON. ACTIVAS,En 1976,De 25 a 29 años,1.4
Zona rural,ECON. ACTIVAS,En 1976,De 30 a 34 años,1.5
Zona rural,ECON. ACTIVAS,En 1976,De 35 a 39 años,1.9
Zona rural,ECON. ACTIVAS,En 1976,De 40 a 44 años,2.5
Zona rural,ECON. ACTIVAS,En 1976,De 45 a 49 años,2
Zona rural,ECON. ACTIVAS,En 1976,de 50 y más años,2.7
Zona rural,ECON. ACTIVAS,En 1975,Total,1.6
Zona rural,ECON. ACTIVAS,En 1975,De 15 a 19 años,1
Zona rural,ECON. ACTIVAS,En 1975,De 20 a 24 años,1.6
Zona rural,ECON. ACTIVAS,En 1975,De 25 a 29 años,1.5
Zona rural,ECON. ACTIVAS,En 1975,De 30 a 34 años,1.6
Zona rural,ECON. ACTIVAS,En 1975,De 35 a 39 años,2
Zona rural,ECON. ACTIVAS,En 1975,De 40 a 44 años,2.2
Zona rural,ECON. ACTIVAS,En 1975,De 45 a 49 años,2.1
Zona rural,ECON. ACTIVAS,En 1975,de 50 y más años,3.1
Zona rural,ECON. ACTIVAS,En 1974,Total,1.8
Zona rural,ECON. ACTIVAS,En 1974,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1974,De 20 a 24 años,1.8
Zona rural,ECON. ACTIVAS,En 1974,De 25 a 29 años,1.7
Zona rural,ECON. ACTIVAS,En 1974,De 30 a 34 años,1.7
Zona rural,ECON. ACTIVAS,En 1974,De 35 a 39 años,1.8
Zona rural,ECON. ACTIVAS,En 1974,De 40 a 44 años,2.2
Zona rural,ECON. ACTIVAS,En 1974,De 45 a 49 años,2.1
Zona rural,ECON. ACTIVAS,En 1974,de 50 y más años,3.2
Zona rural,ECON. ACTIVAS,En 1973,Total,1.8
Zona rural,ECON. ACTIVAS,En 1973,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1973,De 20 a 24 años,1.9
Zona rural,ECON. ACTIVAS,En 1973,De 25 a 29 años,1.8
Zona rural,ECON. ACTIVAS,En 1973,De 30 a 34 años,1.8
Zona rural,ECON. ACTIVAS,En 1973,De 35 a 39 años,1.9
Zona rural,ECON. ACTIVAS,En 1973,De 40 a 44 años,1.7
Zona rural,ECON. ACTIVAS,En 1973,De 45 a 49 años,1.8
Zona rural,ECON. ACTIVAS,En 1973,de 50 y más años,2.3
Zona rural,ECON. ACTIVAS,En 1972,Total,2
Zona rural,ECON. ACTIVAS,En 1972,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1972,De 20 a 24 años,2.2
Zona rural,ECON. ACTIVAS,En 1972,De 25 a 29 años,1.9
Zona rural,ECON. ACTIVAS,En 1972,De 30 a 34 años,2
Zona rural,ECON. ACTIVAS,En 1972,De 35 a 39 años,2
Zona rural,ECON. ACTIVAS,En 1972,De 40 a 44 años,2
Zona rural,ECON. ACTIVAS,En 1972,De 45 a 49 años,2.1
Zona rural,ECON. ACTIVAS,En 1972,de 50 y más años,2.2
Zona rural,ECON. ACTIVAS,En 1971,Total,2
Zona rural,ECON. ACTIVAS,En 1971,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1971,De 20 a 24 años,2.2
Zona rural,ECON. ACTIVAS,En 1971,De 25 a 29 años,2.2
Zona rural,ECON. ACTIVAS,En 1971,De 30 a 34 años,2.1
Zona rural,ECON. ACTIVAS,En 1971,De 35 a 39 años,2
Zona rural,ECON. ACTIVAS,En 1971,De 40 a 44 años,2
Zona rural,ECON. ACTIVAS,En 1971,De 45 a 49 años,1.6
Zona rural,ECON. ACTIVAS,En 1971,de 50 y más años,1
Zona rural,ECON. ACTIVAS,En 1970,Total,2.1
Zona rural,ECON. ACTIVAS,En 1970,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1970,De 20 a 24 años,2.3
Zona rural,ECON. ACTIVAS,En 1970,De 25 a 29 años,2.2
Zona rural,ECON. ACTIVAS,En 1970,De 30 a 34 años,2.1
Zona rural,ECON. ACTIVAS,En 1970,De 35 a 39 años,2.1
Zona rural,ECON. ACTIVAS,En 1970,De 40 a 44 años,2.1
Zona rural,ECON. ACTIVAS,En 1970,De 45 a 49 años,2
Zona rural,ECON. ACTIVAS,En 1970,de 50 y más años,2
Zona rural,ECON. ACTIVAS,En 1969,Total,2.3
Zona rural,ECON. ACTIVAS,En 1969,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1969,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1969,De 25 a 29 años,2.5
Zona rural,ECON. ACTIVAS,En 1969,De 30 a 34 años,2.4
Zona rural,ECON. ACTIVAS,En 1969,De 35 a 39 años,2.3
Zona rural,ECON. ACTIVAS,En 1969,De 40 a 44 años,2.1
Zona rural,ECON. ACTIVAS,En 1969,De 45 a 49 años,1.6
Zona rural,ECON. ACTIVAS,En 1969,de 50 y más años,.6
Zona rural,ECON. ACTIVAS,En 1968,Total,2.3
Zona rural,ECON. ACTIVAS,En 1968,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1968,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1968,De 25 a 29 años,2.6
Zona rural,ECON. ACTIVAS,En 1968,De 30 a 34 años,2.4
Zona rural,ECON. ACTIVAS,En 1968,De 35 a 39 años,2.5
Zona rural,ECON. ACTIVAS,En 1968,De 40 a 44 años,2.2
Zona rural,ECON. ACTIVAS,En 1968,De 45 a 49 años,2
Zona rural,ECON. ACTIVAS,En 1968,de 50 y más años,1.2
Zona rural,ECON. ACTIVAS,En 1967,Total,2.3
Zona rural,ECON. ACTIVAS,En 1967,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1967,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1967,De 25 a 29 años,2.3
Zona rural,ECON. ACTIVAS,En 1967,De 30 a 34 años,2.6
Zona rural,ECON. ACTIVAS,En 1967,De 35 a 39 años,2.4
Zona rural,ECON. ACTIVAS,En 1967,De 40 a 44 años,2.3
Zona rural,ECON. ACTIVAS,En 1967,De 45 a 49 años,1.9
Zona rural,ECON. ACTIVAS,En 1967,de 50 y más años,1.2
Zona rural,ECON. ACTIVAS,En 1966,Total,2.4
Zona rural,ECON. ACTIVAS,En 1966,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1966,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1966,De 25 a 29 años,1.2
Zona rural,ECON. ACTIVAS,En 1966,De 30 a 34 años,2.6
Zona rural,ECON. ACTIVAS,En 1966,De 35 a 39 años,2.6
Zona rural,ECON. ACTIVAS,En 1966,De 40 a 44 años,2.3
Zona rural,ECON. ACTIVAS,En 1966,De 45 a 49 años,1.9
Zona rural,ECON. ACTIVAS,En 1966,de 50 y más años,1.1
Zona rural,ECON. ACTIVAS,En 1961 a 1965,Total,2.5
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 25 a 29 años,1.3
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 30 a 34 años,3
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 35 a 39 años,2.7
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 40 a 44 años,2.6
Zona rural,ECON. ACTIVAS,En 1961 a 1965,De 45 a 49 años,2.4
Zona rural,ECON. ACTIVAS,En 1961 a 1965,de 50 y más años,1.7
Zona rural,ECON. ACTIVAS,En 1956 a 1960,Total,2.7
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 25 a 29 años,
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 30 a 34 años,1.5
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 35 a 39 años,3.2
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 40 a 44 años,3
Zona rural,ECON. ACTIVAS,En 1956 a 1960,De 45 a 49 años,2.7
Zona rural,ECON. ACTIVAS,En 1956 a 1960,de 50 y más años,2.3
Zona rural,ECON. ACTIVAS,En 1951 a 1955,Total,2.7
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 25 a 29 años,
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 30 a 34 años,
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 35 a 39 años,1
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 40 a 44 años,3
Zona rural,ECON. ACTIVAS,En 1951 a 1955,De 45 a 49 años,3
Zona rural,ECON. ACTIVAS,En 1951 a 1955,de 50 y más años,2.6
Zona rural,ECON. ACTIVAS,Anterior a 1951,Total,3.1
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 15 a 19 años,
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 20 a 24 años,
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 25 a 29 años,
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 30 a 34 años,
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 35 a 39 años,
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 40 a 44 años,2.7
Zona rural,ECON. ACTIVAS,Anterior a 1951,De 45 a 49 años,3.1
Zona rural,ECON. ACTIVAS,Anterior a 1951,de 50 y más años,3.1
Zona rural,ECON. INACTIVAS,TOTAL,Total,2.8
Zona rural,ECON. INACTIVAS,TOTAL,De 15 a 19 años,.9
Zona rural,ECON. INACTIVAS,TOTAL,De 20 a 24 años,1.2
Zona rural,ECON. INACTIVAS,TOTAL,De 25 a 29 años,1.7
Zona rural,ECON. INACTIVAS,TOTAL,De 30 a 34 años,2.3
Zona rural,ECON. INACTIVAS,TOTAL,De 35 a 39 años,2.7
Zona rural,ECON. INACTIVAS,TOTAL,De 40 a 44 años,2.9
Zona rural,ECON. INACTIVAS,TOTAL,De 45 a 49 años,3
Zona rural,ECON. INACTIVAS,TOTAL,de 50 y más años,3.1
Zona rural,ECON. INACTIVAS,En 1981,Total,.2
Zona rural,ECON. INACTIVAS,En 1981,De 15 a 19 años,.1
Zona rural,ECON. INACTIVAS,En 1981,De 20 a 24 años,.1
Zona rural,ECON. INACTIVAS,En 1981,De 25 a 29 años,.2
Zona rural,ECON. INACTIVAS,En 1981,De 30 a 34 años,.2
Zona rural,ECON. INACTIVAS,En 1981,De 35 a 39 años,.2
Zona rural,ECON. INACTIVAS,En 1981,De 40 a 44 años,.6
Zona rural,ECON. INACTIVAS,En 1981,De 45 a 49 años,.2
Zona rural,ECON. INACTIVAS,En 1981,de 50 y más años,.3
Zona rural,ECON. INACTIVAS,En 1980,Total,.6
Zona rural,ECON. INACTIVAS,En 1980,De 15 a 19 años,.6
Zona rural,ECON. INACTIVAS,En 1980,De 20 a 24 años,.6
Zona rural,ECON. INACTIVAS,En 1980,De 25 a 29 años,.5
Zona rural,ECON. INACTIVAS,En 1980,De 30 a 34 años,.5
Zona rural,ECON. INACTIVAS,En 1980,De 35 a 39 años,.8
Zona rural,ECON. INACTIVAS,En 1980,De 40 a 44 años,.7
Zona rural,ECON. INACTIVAS,En 1980,De 45 a 49 años,.7
Zona rural,ECON. INACTIVAS,En 1980,de 50 y más años,.6
Zona rural,ECON. INACTIVAS,En 1979,Total,1
Zona rural,ECON. INACTIVAS,En 1979,De 15 a 19 años,1
Zona rural,ECON. INACTIVAS,En 1979,De 20 a 24 años,.9
Zona rural,ECON. INACTIVAS,En 1979,De 25 a 29 años,.9
Zona rural,ECON. INACTIVAS,En 1979,De 30 a 34 años,1.1
Zona rural,ECON. INACTIVAS,En 1979,De 35 a 39 años,1.3
Zona rural,ECON. INACTIVAS,En 1979,De 40 a 44 años,1
Zona rural,ECON. INACTIVAS,En 1979,De 45 a 49 años,1.1
Zona rural,ECON. INACTIVAS,En 1979,de 50 y más años,1.3
Zona rural,ECON. INACTIVAS,En 1978,Total,1.4
Zona rural,ECON. INACTIVAS,En 1978,De 15 a 19 años,1.4
Zona rural,ECON. INACTIVAS,En 1978,De 20 a 24 años,1.2
Zona rural,ECON. INACTIVAS,En 1978,De 25 a 29 años,1.2
Zona rural,ECON. INACTIVAS,En 1978,De 30 a 34 años,1.5
Zona rural,ECON. INACTIVAS,En 1978,De 35 a 39 años,1.7
Zona rural,ECON. INACTIVAS,En 1978,De 40 a 44 años,1.9
Zona rural,ECON. INACTIVAS,En 1978,De 45 a 49 años,1.8
Zona rural,ECON. INACTIVAS,En 1978,de 50 y más años,2
Zona rural,ECON. INACTIVAS,En 1977,Total,1.7
Zona rural,ECON. INACTIVAS,En 1977,De 15 a 19 años,1.6
Zona rural,ECON. INACTIVAS,En 1977,De 20 a 24 años,1.5
Zona rural,ECON. INACTIVAS,En 1977,De 25 a 29 años,1.4
Zona rural,ECON. INACTIVAS,En 1977,De 30 a 34 años,1.7
Zona rural,ECON. INACTIVAS,En 1977,De 35 a 39 años,2.1
Zona rural,ECON. INACTIVAS,En 1977,De 40 a 44 años,2.2
Zona rural,ECON. INACTIVAS,En 1977,De 45 a 49 años,2.4
Zona rural,ECON. INACTIVAS,En 1977,de 50 y más años,2.8
Zona rural,ECON. INACTIVAS,En 1976,Total,1.9
Zona rural,ECON. INACTIVAS,En 1976,De 15 a 19 años,2.1
Zona rural,ECON. INACTIVAS,En 1976,De 20 a 24 años,1.7
Zona rural,ECON. INACTIVAS,En 1976,De 25 a 29 años,1.6
Zona rural,ECON. INACTIVAS,En 1976,De 30 a 34 años,1.7
Zona rural,ECON. INACTIVAS,En 1976,De 35 a 39 años,2.2
Zona rural,ECON. INACTIVAS,En 1976,De 40 a 44 años,2.6
Zona rural,ECON. INACTIVAS,En 1976,De 45 a 49 años,2.7
Zona rural,ECON. INACTIVAS,En 1976,de 50 y más años,3.3
Zona rural,ECON. INACTIVAS,En 1975,Total,2
Zona rural,ECON. INACTIVAS,En 1975,De 15 a 19 años,3.9
Zona rural,ECON. INACTIVAS,En 1975,De 20 a 24 años,1.9
Zona rural,ECON. INACTIVAS,En 1975,De 25 a 29 años,1.8
Zona rural,ECON. INACTIVAS,En 1975,De 30 a 34 años,1.8
Zona rural,ECON. INACTIVAS,En 1975,De 35 a 39 años,2.1
Zona rural,ECON. INACTIVAS,En 1975,De 40 a 44 años,2.4
Zona rural,ECON. INACTIVAS,En 1975,De 45 a 49 años,2.6
Zona rural,ECON. INACTIVAS,En 1975,de 50 y más años,3.8
Zona rural,ECON. INACTIVAS,En 1974,Total,2.1
Zona rural,ECON. INACTIVAS,En 1974,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1974,De 20 a 24 años,2.1
Zona rural,ECON. INACTIVAS,En 1974,De 25 a 29 años,2
Zona rural,ECON. INACTIVAS,En 1974,De 30 a 34 años,1.9
Zona rural,ECON. INACTIVAS,En 1974,De 35 a 39 años,2.1
Zona rural,ECON. INACTIVAS,En 1974,De 40 a 44 años,2.4
Zona rural,ECON. INACTIVAS,En 1974,De 45 a 49 años,2.4
Zona rural,ECON. INACTIVAS,En 1974,de 50 y más años,3.6
Zona rural,ECON. INACTIVAS,En 1973,Total,2.2
Zona rural,ECON. INACTIVAS,En 1973,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1973,De 20 a 24 años,2.3
Zona rural,ECON. INACTIVAS,En 1973,De 25 a 29 años,2.2
Zona rural,ECON. INACTIVAS,En 1973,De 30 a 34 años,2.1
Zona rural,ECON. INACTIVAS,En 1973,De 35 a 39 años,2.1
Zona rural,ECON. INACTIVAS,En 1973,De 40 a 44 años,2.2
Zona rural,ECON. INACTIVAS,En 1973,De 45 a 49 años,2.1
Zona rural,ECON. INACTIVAS,En 1973,de 50 y más años,3.7
Zona rural,ECON. INACTIVAS,En 1972,Total,2.3
Zona rural,ECON. INACTIVAS,En 1972,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1972,De 20 a 24 años,2.4
Zona rural,ECON. INACTIVAS,En 1972,De 25 a 29 años,2.4
Zona rural,ECON. INACTIVAS,En 1972,De 30 a 34 años,2.2
Zona rural,ECON. INACTIVAS,En 1972,De 35 a 39 años,2.2
Zona rural,ECON. INACTIVAS,En 1972,De 40 a 44 años,2.2
Zona rural,ECON. INACTIVAS,En 1972,De 45 a 49 años,1.9
Zona rural,ECON. INACTIVAS,En 1972,de 50 y más años,3
Zona rural,ECON. INACTIVAS,En 1971,Total,2.4
Zona rural,ECON. INACTIVAS,En 1971,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1971,De 20 a 24 años,2.1
Zona rural,ECON. INACTIVAS,En 1971,De 25 a 29 años,2.6
Zona rural,ECON. INACTIVAS,En 1971,De 30 a 34 años,2.4
Zona rural,ECON. INACTIVAS,En 1971,De 35 a 39 años,2.3
Zona rural,ECON. INACTIVAS,En 1971,De 40 a 44 años,2.3
Zona rural,ECON. INACTIVAS,En 1971,De 45 a 49 años,1.9
Zona rural,ECON. INACTIVAS,En 1971,de 50 y más años,2.4
Zona rural,ECON. INACTIVAS,En 1970,Total,2.4
Zona rural,ECON. INACTIVAS,En 1970,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1970,De 20 a 24 años,2.1
Zona rural,ECON. INACTIVAS,En 1970,De 25 a 29 años,2.7
Zona rural,ECON. INACTIVAS,En 1970,De 30 a 34 años,2.4
Zona rural,ECON. INACTIVAS,En 1970,De 35 a 39 años,2.4
Zona rural,ECON. INACTIVAS,En 1970,De 40 a 44 años,2.2
Zona rural,ECON. INACTIVAS,En 1970,De 45 a 49 años,2
Zona rural,ECON. INACTIVAS,En 1970,de 50 y más años,2.2
Zona rural,ECON. INACTIVAS,En 1969,Total,2.5
Zona rural,ECON. INACTIVAS,En 1969,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1969,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1969,De 25 a 29 años,3
Zona rural,ECON. INACTIVAS,En 1969,De 30 a 34 años,2.6
Zona rural,ECON. INACTIVAS,En 1969,De 35 a 39 años,2.5
Zona rural,ECON. INACTIVAS,En 1969,De 40 a 44 años,2.3
Zona rural,ECON. INACTIVAS,En 1969,De 45 a 49 años,1.9
Zona rural,ECON. INACTIVAS,En 1969,de 50 y más años,1.7
Zona rural,ECON. INACTIVAS,En 1968,Total,2.6
Zona rural,ECON. INACTIVAS,En 1968,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1968,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1968,De 25 a 29 años,2.9
Zona rural,ECON. INACTIVAS,En 1968,De 30 a 34 años,2.8
Zona rural,ECON. INACTIVAS,En 1968,De 35 a 39 años,2.6
Zona rural,ECON. INACTIVAS,En 1968,De 40 a 44 años,2.4
Zona rural,ECON. INACTIVAS,En 1968,De 45 a 49 años,2.1
Zona rural,ECON. INACTIVAS,En 1968,de 50 y más años,1.2
Zona rural,ECON. INACTIVAS,En 1967,Total,2.6
Zona rural,ECON. INACTIVAS,En 1967,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1967,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1967,De 25 a 29 años,3
Zona rural,ECON. INACTIVAS,En 1967,De 30 a 34 años,2.9
Zona rural,ECON. INACTIVAS,En 1967,De 35 a 39 años,2.6
Zona rural,ECON. INACTIVAS,En 1967,De 40 a 44 años,2.5
Zona rural,ECON. INACTIVAS,En 1967,De 45 a 49 años,2.1
Zona rural,ECON. INACTIVAS,En 1967,de 50 y más años,1.4
Zona rural,ECON. INACTIVAS,En 1966,Total,2.7
Zona rural,ECON. INACTIVAS,En 1966,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1966,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1966,De 25 a 29 años,3.1
Zona rural,ECON. INACTIVAS,En 1966,De 30 a 34 años,3.1
Zona rural,ECON. INACTIVAS,En 1966,De 35 a 39 años,2.8
Zona rural,ECON. INACTIVAS,En 1966,De 40 a 44 años,2.7
Zona rural,ECON. INACTIVAS,En 1966,De 45 a 49 años,2.3
Zona rural,ECON. INACTIVAS,En 1966,de 50 y más años,1.5
Zona rural,ECON. INACTIVAS,En 1961 a 1965,Total,2.8
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 25 a 29 años,1.9
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 30 a 34 años,3.2
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 35 a 39 años,3.1
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 40 a 44 años,2.9
Zona rural,ECON. INACTIVAS,En 1961 a 1965,De 45 a 49 años,2.7
Zona rural,ECON. INACTIVAS,En 1961 a 1965,de 50 y más años,1.8
Zona rural,ECON. INACTIVAS,En 1956 a 1960,Total,2.9
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 25 a 29 años,
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 30 a 34 años,3.7
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 35 a 39 años,3.6
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 40 a 44 años,3.3
Zona rural,ECON. INACTIVAS,En 1956 a 1960,De 45 a 49 años,3
Zona rural,ECON. INACTIVAS,En 1956 a 1960,de 50 y más años,2.5
Zona rural,ECON. INACTIVAS,En 1951 a 1955,Total,3.1
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 25 a 29 años,
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 30 a 34 años,
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 35 a 39 años,4.8
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 40 a 44 años,3.8
Zona rural,ECON. INACTIVAS,En 1951 a 1955,De 45 a 49 años,3.5
Zona rural,ECON. INACTIVAS,En 1951 a 1955,de 50 y más años,2.9
Zona rural,ECON. INACTIVAS,Anterior a 1951,Total,3.4
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 15 a 19 años,
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 20 a 24 años,
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 25 a 29 años,
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 30 a 34 años,
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 35 a 39 años,
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 40 a 44 años,2.9
Zona rural,ECON. INACTIVAS,Anterior a 1951,De 45 a 49 años,3.8
Zona rural,ECON. INACTIVAS,Anterior a 1951,de 50 y más años,3.4
Zona intermedia,ECON. ACTIVAS,TOTAL,Total,1.9
Zona intermedia,ECON. ACTIVAS,TOTAL,De 15 a 19 años,.8
