tipodezona,actividad,añodelaboda,edaddelamujer,total
Total Nacional,ECON. INACTIVAS,En 1979,De 20 a 24 años,.9
Total Nacional,ECON. INACTIVAS,En 1979,De 25 a 29 años,.9
Total Nacional,ECON. INACTIVAS,En 1979,De 30 a 34 años,1.1
Total Nacional,ECON. INACTIVAS,En 1979,De 35 a 39 años,1.2
Total Nacional,ECON. INACTIVAS,En 1979,De 40 a 44 años,1.1
Total Nacional,ECON. INACTIVAS,En 1979,De 45 a 49 años,1
Total Nacional,ECON. INACTIVAS,En 1979,de 50 y más años,1.2
Total Nacional,ECON. INACTIVAS,En 1978,Total,1.2
Total Nacional,ECON. INACTIVAS,En 1978,De 15 a 19 años,1.3
Total Nacional,ECON. INACTIVAS,En 1978,De 20 a 24 años,1.1
Total Nacional,ECON. INACTIVAS,En 1978,De 25 a 29 años,1.1
Total Nacional,ECON. INACTIVAS,En 1978,De 30 a 34 años,1.4
Total Nacional,ECON. INACTIVAS,En 1978,De 35 a 39 años,1.6
Total Nacional,ECON. INACTIVAS,En 1978,De 40 a 44 años,1.7
Total Nacional,ECON. INACTIVAS,En 1978,De 45 a 49 años,1.6
Total Nacional,ECON. INACTIVAS,En 1978,de 50 y más años,1.8
Total Nacional,ECON. INACTIVAS,En 1977,Total,1.5
Total Nacional,ECON. INACTIVAS,En 1977,De 15 a 19 años,1.6
Total Nacional,ECON. INACTIVAS,En 1977,De 20 a 24 años,1.4
Total Nacional,ECON. INACTIVAS,En 1977,De 25 a 29 años,1.3
Total Nacional,ECON. INACTIVAS,En 1977,De 30 a 34 años,1.5
Total Nacional,ECON. INACTIVAS,En 1977,De 35 a 39 años,1.9
Total Nacional,ECON. INACTIVAS,En 1977,De 40 a 44 años,2
Total Nacional,ECON. INACTIVAS,En 1977,De 45 a 49 años,2.1
Total Nacional,ECON. INACTIVAS,En 1977,de 50 y más años,2.4
Total Nacional,ECON. INACTIVAS,En 1976,Total,1.7
Total Nacional,ECON. INACTIVAS,En 1976,De 15 a 19 años,1.9
Total Nacional,ECON. INACTIVAS,En 1976,De 20 a 24 años,1.7
Total Nacional,ECON. INACTIVAS,En 1976,De 25 a 29 años,1.6
Total Nacional,ECON. INACTIVAS,En 1976,De 30 a 34 años,1.7
Total Nacional,ECON. INACTIVAS,En 1976,De 35 a 39 años,1.9
Total Nacional,ECON. INACTIVAS,En 1976,De 40 a 44 años,2.2
Total Nacional,ECON. INACTIVAS,En 1976,De 45 a 49 años,2.2
Total Nacional,ECON. INACTIVAS,En 1976,de 50 y más años,2.8
Total Nacional,ECON. INACTIVAS,En 1975,Total,1.8
Total Nacional,ECON. INACTIVAS,En 1975,De 15 a 19 años,3
Total Nacional,ECON. INACTIVAS,En 1975,De 20 a 24 años,1.9
Total Nacional,ECON. INACTIVAS,En 1975,De 25 a 29 años,1.8
Total Nacional,ECON. INACTIVAS,En 1975,De 30 a 34 años,1.8
Total Nacional,ECON. INACTIVAS,En 1975,De 35 a 39 años,1.9
Total Nacional,ECON. INACTIVAS,En 1975,De 40 a 44 años,2.1
Total Nacional,ECON. INACTIVAS,En 1975,De 45 a 49 años,1.9
Total Nacional,ECON. INACTIVAS,En 1975,de 50 y más años,2.8
