sexo,relaciónmunicipio1970y1981,gruposdeedad,activos,total
TOTAL,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,16018
TOTAL,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,15524
TOTAL,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,8495
TOTAL,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,8397
TOTAL,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,3235
TOTAL,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,7575
TOTAL,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,243
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,192414
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,105402
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,39149
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,21093
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,72667
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,44980
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,37721
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,22968
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,20056
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,11385
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,11608
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,4603
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,11213
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,373
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,Total,831980
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,426333
TOTAL,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,183773
TOTAL,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,94889
TOTAL,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,281399
TOTAL,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,168110
TOTAL,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,136309
TOTAL,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,82650
TOTAL,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,100364
TOTAL,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,55100
TOTAL,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,59443
TOTAL,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,23492
TOTAL,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,70692
TOTAL,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,2093
TOTAL,"Misma CCAA, distinta Provincia, Total",TOTAL,Total,294869
TOTAL,"Misma CCAA, distinta Provincia, Total",TOTAL,Activos,152484
TOTAL,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Total,59810
TOTAL,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Activos,26504
TOTAL,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Total,101514
TOTAL,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Activos,63383
TOTAL,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Total,54311
TOTAL,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Activos,33300
TOTAL,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Total,35047
TOTAL,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Activos,19812
TOTAL,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Total,20527
TOTAL,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Activos,8393
TOTAL,"Misma CCAA, distinta Provincia, Total",de 65 y más,Total,23661
TOTAL,"Misma CCAA, distinta Provincia, Total",de 65 y más,Activos,1092
TOTAL,Capital,TOTAL,Total,94719
TOTAL,Capital,TOTAL,Activos,50407
TOTAL,Capital,de 16 a 24 años,Total,16573
TOTAL,Capital,de 16 a 24 años,Activos,6676
TOTAL,Capital,de 25 a 34,Total,34096
TOTAL,Capital,de 25 a 34,Activos,22150
TOTAL,Capital,de 35 a 44,Total,19524
TOTAL,Capital,de 35 a 44,Activos,12261
TOTAL,Capital,de 45 a 54,Total,10697
TOTAL,Capital,de 45 a 54,Activos,6356
TOTAL,Capital,de 55 a 64,Total,6252
TOTAL,Capital,de 55 a 64,Activos,2533
TOTAL,Capital,de 65 y más,Total,7577
TOTAL,Capital,de 65 y más,Activos,430
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,19456
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,10360
TOTAL,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,4000
TOTAL,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,1719
TOTAL,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,6609
TOTAL,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,4196
TOTAL,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,3975
TOTAL,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,2471
TOTAL,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,2324
TOTAL,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,1371
TOTAL,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,1297
TOTAL,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,550
TOTAL,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,1250
TOTAL,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,53
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,30035
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,15444
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,6520
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,2994
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,10018
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,6036
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,6745
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,3438
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,3615
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,2109
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,2013
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,739
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,2125
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,129
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,Total,150660
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,76273
TOTAL,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,32716
TOTAL,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,15115
TOTAL,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,50791
TOTAL,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,31002
TOTAL,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,25067
TOTAL,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,15130
TOTAL,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,18412
TOTAL,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,9975
TOTAL,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,10965
TOTAL,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,4571
TOTAL,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,12708
TOTAL,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,480
TOTAL,"Distinta CCAA, Total",TOTAL,Total,1397048
TOTAL,"Distinta CCAA, Total",TOTAL,Activos,757142
TOTAL,"Distinta CCAA, Total",de 16 a 24 años,Total,313802
TOTAL,"Distinta CCAA, Total",de 16 a 24 años,Activos,172793
TOTAL,"Distinta CCAA, Total",de 25 a 34,Total,476597
TOTAL,"Distinta CCAA, Total",de 25 a 34,Activos,301798
TOTAL,"Distinta CCAA, Total",de 35 a 44,Total,244710
TOTAL,"Distinta CCAA, Total",de 35 a 44,Activos,149961
TOTAL,"Distinta CCAA, Total",de 45 a 54,Total,162987
TOTAL,"Distinta CCAA, Total",de 45 a 54,Activos,89635
TOTAL,"Distinta CCAA, Total",de 55 a 64,Total,97573
TOTAL,"Distinta CCAA, Total",de 55 a 64,Activos,39170
TOTAL,"Distinta CCAA, Total",de 65 y más,Total,101379
TOTAL,"Distinta CCAA, Total",de 65 y más,Activos,3785
TOTAL,Capital,TOTAL,Total,507509
TOTAL,Capital,TOTAL,Activos,275084
TOTAL,Capital,de 16 a 24 años,Total,91574
TOTAL,Capital,de 16 a 24 años,Activos,40511
TOTAL,Capital,de 25 a 34,Total,179238
TOTAL,Capital,de 25 a 34,Activos,116982
TOTAL,Capital,de 35 a 44,Total,110516
TOTAL,Capital,de 35 a 44,Activos,70077
TOTAL,Capital,de 45 a 54,Total,56567
TOTAL,Capital,de 45 a 54,Activos,33089
TOTAL,Capital,de 55 a 64,Total,31890
TOTAL,Capital,de 55 a 64,Activos,12565
TOTAL,Capital,de 65 y más,Total,37726
TOTAL,Capital,de 65 y más,Activos,1862
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,79066
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,40963
TOTAL,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,18016
TOTAL,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,8718
TOTAL,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,25148
TOTAL,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,15106
TOTAL,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,16251
TOTAL,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,9707
TOTAL,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,9719
TOTAL,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,5271
TOTAL,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,5359
TOTAL,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,1943
TOTAL,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,4571
TOTAL,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,218
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,119400
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,63743
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,29012
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,16174
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,38121
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,22943
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,21915
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,12893
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,15271
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,8182
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,8207
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,3275
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,6875
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,277
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,Total,691072
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,377352
TOTAL,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,175199
TOTAL,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,107391
TOTAL,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,234091
TOTAL,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,146768
TOTAL,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,96028
TOTAL,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,57284
TOTAL,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,81430
TOTAL,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,43093
TOTAL,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,52117
TOTAL,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,21387
TOTAL,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,52208
TOTAL,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,1429
TOTAL,"De Ceuta, Melilla y otros territorios",TOTAL,Total,25944
TOTAL,"De Ceuta, Melilla y otros territorios",TOTAL,Activos,12509
TOTAL,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Total,6322
TOTAL,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Activos,2739
TOTAL,"De Ceuta, Melilla y otros territorios",de 25 a 34,Total,6289
TOTAL,"De Ceuta, Melilla y otros territorios",de 25 a 34,Activos,3943
TOTAL,"De Ceuta, Melilla y otros territorios",de 35 a 44,Total,4831
TOTAL,"De Ceuta, Melilla y otros territorios",de 35 a 44,Activos,2748
TOTAL,"De Ceuta, Melilla y otros territorios",de 45 a 54,Total,4067
TOTAL,"De Ceuta, Melilla y otros territorios",de 45 a 54,Activos,2151
TOTAL,"De Ceuta, Melilla y otros territorios",de 55 a 64,Total,2601
TOTAL,"De Ceuta, Melilla y otros territorios",de 55 a 64,Activos,876
TOTAL,"De Ceuta, Melilla y otros territorios",de 65 y más,Total,1833
TOTAL,"De Ceuta, Melilla y otros territorios",de 65 y más,Activos,53
TOTAL,Del extranjero,TOTAL,Total,344339
TOTAL,Del extranjero,TOTAL,Activos,175485
TOTAL,Del extranjero,de 16 a 24 años,Total,59408
TOTAL,Del extranjero,de 16 a 24 años,Activos,29023
TOTAL,Del extranjero,de 25 a 34,Total,74206
TOTAL,Del extranjero,de 25 a 34,Activos,41752
TOTAL,Del extranjero,de 35 a 44,Total,94438
TOTAL,Del extranjero,de 35 a 44,Activos,56063
TOTAL,Del extranjero,de 45 a 54,Total,62677
TOTAL,Del extranjero,de 45 a 54,Activos,36207
TOTAL,Del extranjero,de 55 a 64,Total,30523
TOTAL,Del extranjero,de 55 a 64,Activos,11109
TOTAL,Del extranjero,de 65 y más,Total,23087
TOTAL,Del extranjero,de 65 y más,Activos,1331
VARONES,TOTAL,TOTAL,Total,13168181
VARONES,TOTAL,TOTAL,Activos,9628895
VARONES,TOTAL,de 16 a 24 años,Total,2806067
VARONES,TOTAL,de 16 a 24 años,Activos,1742390
VARONES,TOTAL,de 25 a 34,Total,2509790
VARONES,TOTAL,de 25 a 34,Activos,2409276
VARONES,TOTAL,de 35 a 44,Total,2144160
VARONES,TOTAL,de 35 a 44,Activos,2064429
VARONES,TOTAL,de 45 a 54,Total,2276528
VARONES,TOTAL,de 45 a 54,Activos,2078191
VARONES,TOTAL,de 55 a 64,Total,1707708
VARONES,TOTAL,de 55 a 64,Activos,1222517
VARONES,TOTAL,de 65 y más,Total,1723927
VARONES,TOTAL,de 65 y más,Activos,112092
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Total,11347366
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Activos,8126519
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Total,2458128
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Activos,1518334
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Total,1884219
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Activos,1799022
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Total,1766270
VARONES,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Activos,1697160
