sexo,relaciónmunicipio1970y1981,gruposdeedad,activos,total
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,2746
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,2835
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,145
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,94553
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,81143
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,17418
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,11864
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,36071
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,35475
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,20582
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,20052
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,10447
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,9683
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,5548
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,3845
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,4489
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,225
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Total,393290
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,321075
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,75576
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,50758
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,134099
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,131760
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,72990
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,71050
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,51276
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,46484
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,29252
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,19635
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,30096
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,1388
VARONES,"Misma CCAA, distinta Provincia, Total",TOTAL,Total,137969
VARONES,"Misma CCAA, distinta Provincia, Total",TOTAL,Activos,110839
VARONES,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Total,26408
VARONES,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Activos,14358
VARONES,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Total,47462
VARONES,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Activos,45963
VARONES,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Total,27925
VARONES,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Activos,27256
VARONES,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Total,17294
VARONES,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Activos,16001
VARONES,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Total,9507
VARONES,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Activos,6646
VARONES,"Misma CCAA, distinta Provincia, Total",de 65 y más,Total,9375
VARONES,"Misma CCAA, distinta Provincia, Total",de 65 y más,Activos,614
VARONES,Capital,TOTAL,Total,44267
VARONES,Capital,TOTAL,Activos,36042
VARONES,Capital,de 16 a 24 años,Total,7465
VARONES,Capital,de 16 a 24 años,Activos,3691
VARONES,Capital,de 25 a 34,Total,15971
VARONES,Capital,de 25 a 34,Activos,15461
VARONES,Capital,de 35 a 44,Total,10079
VARONES,Capital,de 35 a 44,Activos,9854
VARONES,Capital,de 45 a 54,Total,5248
VARONES,Capital,de 45 a 54,Activos,4971
VARONES,Capital,de 55 a 64,Total,2680
VARONES,Capital,de 55 a 64,Activos,1842
VARONES,Capital,de 65 y más,Total,2824
VARONES,Capital,de 65 y más,Activos,224
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,9145
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,7487
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,1765
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,955
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,3136
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,2993
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,2094
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,2035
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,1130
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,1058
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,558
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,427
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,462
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,20
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,14091
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,11381
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,2843
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,1634
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,4683
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,4505
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,2910
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,2839
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,1834
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,1723
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,963
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,604
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,857
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,76
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Total,70467
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,55928
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,14335
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,8077
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,23673
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,23004
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,12842
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,12529
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,9081
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,8250
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,5305
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,3773
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,5231
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,294
VARONES,"Distinta CCAA, Total",TOTAL,Total,664754
VARONES,"Distinta CCAA, Total",TOTAL,Activos,544177
VARONES,"Distinta CCAA, Total",de 16 a 24 años,Total,142925
VARONES,"Distinta CCAA, Total",de 16 a 24 años,Activos,91454
VARONES,"Distinta CCAA, Total",de 25 a 34,Total,228658
VARONES,"Distinta CCAA, Total",de 25 a 34,Activos,222740
VARONES,"Distinta CCAA, Total",de 35 a 44,Total,126614
VARONES,"Distinta CCAA, Total",de 35 a 44,Activos,123155
VARONES,"Distinta CCAA, Total",de 45 a 54,Total,80124
VARONES,"Distinta CCAA, Total",de 45 a 54,Activos,73030
VARONES,"Distinta CCAA, Total",de 55 a 64,Total,46141
VARONES,"Distinta CCAA, Total",de 55 a 64,Activos,31702
VARONES,"Distinta CCAA, Total",de 65 y más,Total,40293
VARONES,"Distinta CCAA, Total",de 65 y más,Activos,2096
VARONES,Capital,TOTAL,Total,241771
VARONES,Capital,TOTAL,Activos,197326
VARONES,Capital,de 16 a 24 años,Total,42504
VARONES,Capital,de 16 a 24 años,Activos,22387
VARONES,Capital,de 25 a 34,Total,84860
VARONES,Capital,de 25 a 34,Activos,82061
VARONES,Capital,de 35 a 44,Total,57902
VARONES,Capital,de 35 a 44,Activos,56532
VARONES,Capital,de 45 a 54,Total,28084
VARONES,Capital,de 45 a 54,Activos,26089
VARONES,Capital,de 55 a 64,Total,14055
VARONES,Capital,de 55 a 64,Activos,9326
VARONES,Capital,de 65 y más,Total,14367
VARONES,Capital,de 65 y más,Activos,929
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,38478
VARONES,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,30840
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,8671
VARONES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,5055
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,11935
VARONES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,11500
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,8492
VARONES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,8222
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,4904
VARONES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,4398
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,2583
VARONES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,1550
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,1893
VARONES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,115
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,57040
VARONES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,47088
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,13422
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,8891
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,18111
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,17617
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,11253
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,10875
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,7594
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,6870
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,4047
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,2676
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,2613
VARONES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,159
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Total,327466
VARONES,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,268923
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,78328
VARONES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,55121
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,113752
VARONES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,111562
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,48967
VARONES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,47525
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,39543
VARONES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,35673
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,25457
VARONES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,18150
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,21420
VARONES,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,893
VARONES,"De Ceuta, Melilla y otros territorios",TOTAL,Total,13162
VARONES,"De Ceuta, Melilla y otros territorios",TOTAL,Activos,9897
VARONES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Total,3214
VARONES,"De Ceuta, Melilla y otros territorios",de 16 a 24 años,Activos,1743
VARONES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Total,3240
VARONES,"De Ceuta, Melilla y otros territorios",de 25 a 34,Activos,3098
VARONES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Total,2414
VARONES,"De Ceuta, Melilla y otros territorios",de 35 a 44,Activos,2348
VARONES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Total,2151
VARONES,"De Ceuta, Melilla y otros territorios",de 45 a 54,Activos,1899
VARONES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Total,1443
VARONES,"De Ceuta, Melilla y otros territorios",de 55 a 64,Activos,787
VARONES,"De Ceuta, Melilla y otros territorios",de 65 y más,Total,699
VARONES,"De Ceuta, Melilla y otros territorios",de 65 y más,Activos,23
VARONES,Del extranjero,TOTAL,Total,165337
VARONES,Del extranjero,TOTAL,Activos,126014
VARONES,Del extranjero,de 16 a 24 años,Total,27503
VARONES,Del extranjero,de 16 a 24 años,Activos,15431
VARONES,Del extranjero,de 25 a 34,Total,30563
VARONES,Del extranjero,de 25 a 34,Activos,28025
VARONES,Del extranjero,de 35 a 44,Total,48132
VARONES,Del extranjero,de 35 a 44,Activos,45802
VARONES,Del extranjero,de 45 a 54,Total,33569
VARONES,Del extranjero,de 45 a 54,Activos,29389
VARONES,Del extranjero,de 55 a 64,Total,14650
VARONES,Del extranjero,de 55 a 64,Activos,8576
VARONES,Del extranjero,de 65 y más,Total,10920
VARONES,Del extranjero,de 65 y más,Activos,792
MUJERES,TOTAL,TOTAL,Total,14164701
MUJERES,TOTAL,TOTAL,Activos,3168130
MUJERES,TOTAL,de 16 a 24 años,Total,2734672
MUJERES,TOTAL,de 16 a 24 años,Activos,1212545
MUJERES,TOTAL,de 25 a 34,Total,2482952
MUJERES,TOTAL,de 25 a 34,Activos,786487
MUJERES,TOTAL,de 35 a 44,Total,2157656
MUJERES,TOTAL,de 35 a 44,Activos,419500
MUJERES,TOTAL,de 45 a 54,Total,2349787
MUJERES,TOTAL,de 45 a 54,Activos,417569
MUJERES,TOTAL,de 55 a 64,Total,1926837
MUJERES,TOTAL,de 55 a 64,Activos,281787
MUJERES,TOTAL,de 65 y más,Total,2512797
MUJERES,TOTAL,de 65 y más,Activos,50242
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Total,12187387
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Activos,2642745
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Total,2295968
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Activos,1018563
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Total,1808274
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Activos,591449
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Total,1818884
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Activos,350071
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Total,2125667
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Activos,373982
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Total,1789456
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Activos,262503
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Total,2349137
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Activos,46177
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Total,1977314
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Activos,525385
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Total,438704
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Activos,193982
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Total,674677
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Activos,195038
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Total,338772
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Activos,69429
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Total,224120
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Activos,43587
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Total,137381
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Activos,19284
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Total,163660
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Activos,4065
MUJERES,Misma CCAA,TOTAL,Total,1053187
MUJERES,Misma CCAA,TOTAL,Activos,262328
MUJERES,Misma CCAA,de 16 a 24 años,Total,232792
MUJERES,Misma CCAA,de 16 a 24 años,Activos,98051
MUJERES,Misma CCAA,de 25 a 34,Total,380042
MUJERES,Misma CCAA,de 25 a 34,Activos,101402
MUJERES,Misma CCAA,de 35 a 44,Total,171944
MUJERES,Misma CCAA,de 35 a 44,Activos,31961
MUJERES,Misma CCAA,de 45 a 54,Total,110227
MUJERES,Misma CCAA,de 45 a 54,Activos,19913
MUJERES,Misma CCAA,de 55 a 64,Total,68912
MUJERES,Misma CCAA,de 55 a 64,Activos,9193
MUJERES,Misma CCAA,de 65 y más,Total,89270
MUJERES,Misma CCAA,de 65 y más,Activos,1807
MUJERES,"Misma Provincia, Total",TOTAL,Total,896280
MUJERES,"Misma Provincia, Total",TOTAL,Activos,220682
MUJERES,"Misma Provincia, Total",de 16 a 24 años,Total,199386
MUJERES,"Misma Provincia, Total",de 16 a 24 años,Activos,85905
MUJERES,"Misma Provincia, Total",de 25 a 34,Total,325990
MUJERES,"Misma Provincia, Total",de 25 a 34,Activos,83982
MUJERES,"Misma Provincia, Total",de 35 a 44,Total,145558
MUJERES,"Misma Provincia, Total",de 35 a 44,Activos,25918
MUJERES,"Misma Provincia, Total",de 45 a 54,Total,92471
MUJERES,"Misma Provincia, Total",de 45 a 54,Activos,16102
MUJERES,"Misma Provincia, Total",de 55 a 64,Total,57891
MUJERES,"Misma Provincia, Total",de 55 a 64,Activos,7446
MUJERES,"Misma Provincia, Total",de 65 y más,Total,74984
MUJERES,"Misma Provincia, Total",de 65 y más,Activos,1328
MUJERES,Capital,TOTAL,Total,294125
MUJERES,Capital,TOTAL,Activos,75129
MUJERES,Capital,de 16 a 24 años,Total,55725
MUJERES,Capital,de 16 a 24 años,Activos,26321
MUJERES,Capital,de 25 a 34,Total,118804
MUJERES,Capital,de 25 a 34,Activos,32020
MUJERES,Capital,de 35 a 44,Total,52949
MUJERES,Capital,de 35 a 44,Activos,9401
MUJERES,Capital,de 45 a 54,Total,26345
MUJERES,Capital,de 45 a 54,Activos,4668
MUJERES,Capital,de 55 a 64,Total,17379
MUJERES,Capital,de 55 a 64,Activos,2343
MUJERES,Capital,de 65 y más,Total,22923
MUJERES,Capital,de 65 y más,Activos,377
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,65604
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,16036
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,13733
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,6225
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,23290
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,6108
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,12151
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,2000
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,7429
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,1117
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,4261
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,489
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,4740
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,98
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,97861
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,24258
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,21731
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,9229
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,36596
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,9504
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,17139
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,2917
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,9609
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,1702
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,6061
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,759
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,6725
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,148
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Total,438690
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,106259
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,108197
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,44130
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Total,147300
MUJERES,Municipios no capital menores de 20.001 hab.,de 25 a 34,Activos,36350
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Total,63319
MUJERES,Municipios no capital menores de 20.001 hab.,de 35 a 44,Activos,11600
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Total,49087
MUJERES,Municipios no capital menores de 20.001 hab.,de 45 a 54,Activos,8616
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Total,30191
MUJERES,Municipios no capital menores de 20.001 hab.,de 55 a 64,Activos,3856
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Total,40596
MUJERES,Municipios no capital menores de 20.001 hab.,de 65 y más,Activos,706
MUJERES,"Misma CCAA, distinta Provincia, Total",TOTAL,Total,156900
MUJERES,"Misma CCAA, distinta Provincia, Total",TOTAL,Activos,41645
MUJERES,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Total,33402
MUJERES,"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,Activos,12146
MUJERES,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Total,54052
MUJERES,"Misma CCAA, distinta Provincia, Total",de 25 a 34,Activos,17420
MUJERES,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Total,26386
MUJERES,"Misma CCAA, distinta Provincia, Total",de 35 a 44,Activos,6043
MUJERES,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Total,17753
MUJERES,"Misma CCAA, distinta Provincia, Total",de 45 a 54,Activos,3811
MUJERES,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Total,11020
MUJERES,"Misma CCAA, distinta Provincia, Total",de 55 a 64,Activos,1747
MUJERES,"Misma CCAA, distinta Provincia, Total",de 65 y más,Total,14286
MUJERES,"Misma CCAA, distinta Provincia, Total",de 65 y más,Activos,478
MUJERES,Capital,TOTAL,Total,50451
MUJERES,Capital,TOTAL,Activos,14364
MUJERES,Capital,de 16 a 24 años,Total,9108
MUJERES,Capital,de 16 a 24 años,Activos,2986
MUJERES,Capital,de 25 a 34,Total,18125
MUJERES,Capital,de 25 a 34,Activos,6689
MUJERES,Capital,de 35 a 44,Total,9445
MUJERES,Capital,de 35 a 44,Activos,2407
MUJERES,Capital,de 45 a 54,Total,5448
MUJERES,Capital,de 45 a 54,Activos,1386
MUJERES,Capital,de 55 a 64,Total,3572
MUJERES,Capital,de 55 a 64,Activos,691
MUJERES,Capital,de 65 y más,Total,4753
MUJERES,Capital,de 65 y más,Activos,206
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Total,10311
MUJERES,Municipios no capital mayores de 50.000 hab.,TOTAL,Activos,2873
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Total,2235
MUJERES,Municipios no capital mayores de 50.000 hab.,de 16 a 24 años,Activos,764
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Total,3474
MUJERES,Municipios no capital mayores de 50.000 hab.,de 25 a 34,Activos,1203
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Total,1882
MUJERES,Municipios no capital mayores de 50.000 hab.,de 35 a 44,Activos,436
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Total,1193
MUJERES,Municipios no capital mayores de 50.000 hab.,de 45 a 54,Activos,314
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Total,739
MUJERES,Municipios no capital mayores de 50.000 hab.,de 55 a 64,Activos,123
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Total,788
MUJERES,Municipios no capital mayores de 50.000 hab.,de 65 y más,Activos,33
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Total,15944
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,Activos,4063
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Total,3678
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 16 a 24 años,Activos,1359
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Total,5335
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 25 a 34,Activos,1531
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Total,2835
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 35 a 44,Activos,599
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Total,1780
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 45 a 54,Activos,386
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Total,1050
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 55 a 64,Activos,135
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Total,1268
MUJERES,Municipios no capital de 20.001 a 50.000 hab.,de 65 y más,Activos,52
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Total,80193
MUJERES,Municipios no capital menores de 20.001 hab.,TOTAL,Activos,20345
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Total,18381
MUJERES,Municipios no capital menores de 20.001 hab.,de 16 a 24 años,Activos,7037
