sexo,sectoreseconómicos,ámbitopoblacional,gruposdeedad,total
Ambos sexos,Agricultura,Zona Intermedia,De 25 a 29 años,29677
Ambos sexos,Agricultura,Zona Intermedia,De 30 a 34 años,30486
Ambos sexos,Agricultura,Zona Intermedia,De 35 a 39 años,33960
Ambos sexos,Agricultura,Zona Intermedia,De 40 a 44 años,40932
Ambos sexos,Agricultura,Zona Intermedia,De 45 a 49 años,56344
Ambos sexos,Agricultura,Zona Intermedia,De 50 a 54 años,57391
Ambos sexos,Agricultura,Zona Intermedia,De 55 a 59 años,50212
Ambos sexos,Agricultura,Zona Intermedia,De 60 a 64 años,29685
Ambos sexos,Agricultura,Zona Intermedia,De 65 a 69 años,3794
Ambos sexos,Agricultura,Zona Intermedia,De 70 a 74 años,1258
Ambos sexos,Agricultura,Zona Intermedia,De 75 y más años,907
Ambos sexos,Agricultura,Zona Urbana,Total,242469
Ambos sexos,Agricultura,Zona Urbana,De 16 a 19 años,12293
Ambos sexos,Agricultura,Zona Urbana,De 20 a 24 años,17275
Ambos sexos,Agricultura,Zona Urbana,De 25 a 29 años,19163
Ambos sexos,Agricultura,Zona Urbana,De 30 a 34 años,19950
Ambos sexos,Agricultura,Zona Urbana,De 35 a 39 años,22282
Ambos sexos,Agricultura,Zona Urbana,De 40 a 44 años,26513
Ambos sexos,Agricultura,Zona Urbana,De 45 a 49 años,35073
Ambos sexos,Agricultura,Zona Urbana,De 50 a 54 años,35808
Ambos sexos,Agricultura,Zona Urbana,De 55 a 59 años,32045
Ambos sexos,Agricultura,Zona Urbana,De 60 a 64 años,17519
Ambos sexos,Agricultura,Zona Urbana,De 65 a 69 años,2826
Ambos sexos,Agricultura,Zona Urbana,De 70 a 74 años,975
Ambos sexos,Agricultura,Zona Urbana,De 75 y más años,747
Ambos sexos,Energía y agua,Total nacional,Total,175410
Ambos sexos,Energía y agua,Total nacional,De 16 a 19 años,3262
Ambos sexos,Energía y agua,Total nacional,De 20 a 24 años,13394
Ambos sexos,Energía y agua,Total nacional,De 25 a 29 años,22092
Ambos sexos,Energía y agua,Total nacional,De 30 a 34 años,24194
Ambos sexos,Energía y agua,Total nacional,De 35 a 39 años,21944
Ambos sexos,Energía y agua,Total nacional,De 40 a 44 años,19609
Ambos sexos,Energía y agua,Total nacional,De 45 a 49 años,24527
Ambos sexos,Energía y agua,Total nacional,De 50 a 54 años,21829
Ambos sexos,Energía y agua,Total nacional,De 55 a 59 años,16191
Ambos sexos,Energía y agua,Total nacional,De 60 a 64 años,7025
Ambos sexos,Energía y agua,Total nacional,De 65 a 69 años,825
Ambos sexos,Energía y agua,Total nacional,De 70 a 74 años,215
Ambos sexos,Energía y agua,Total nacional,De 75 y más años,304
Ambos sexos,Energía y agua,Zona Rural,Total,46259
Ambos sexos,Energía y agua,Zona Rural,De 16 a 19 años,1238
Ambos sexos,Energía y agua,Zona Rural,De 20 a 24 años,4593
Ambos sexos,Energía y agua,Zona Rural,De 25 a 29 años,6403
Ambos sexos,Energía y agua,Zona Rural,De 30 a 34 años,5861
Ambos sexos,Energía y agua,Zona Rural,De 35 a 39 años,5211
Ambos sexos,Energía y agua,Zona Rural,De 40 a 44 años,4741
Ambos sexos,Energía y agua,Zona Rural,De 45 a 49 años,6690
Ambos sexos,Energía y agua,Zona Rural,De 50 a 54 años,5821
Ambos sexos,Energía y agua,Zona Rural,De 55 a 59 años,3909
Ambos sexos,Energía y agua,Zona Rural,De 60 a 64 años,1468
Ambos sexos,Energía y agua,Zona Rural,De 65 a 69 años,176
Ambos sexos,Energía y agua,Zona Rural,De 70 a 74 años,61
Ambos sexos,Energía y agua,Zona Rural,De 75 y más años,86
Ambos sexos,Energía y agua,Zona Intermedia,Total,36147
Ambos sexos,Energía y agua,Zona Intermedia,De 16 a 19 años,916
Ambos sexos,Energía y agua,Zona Intermedia,De 20 a 24 años,3308
Ambos sexos,Energía y agua,Zona Intermedia,De 25 a 29 años,5126
Ambos sexos,Energía y agua,Zona Intermedia,De 30 a 34 años,5116
Ambos sexos,Energía y agua,Zona Intermedia,De 35 a 39 años,4517
Ambos sexos,Energía y agua,Zona Intermedia,De 40 a 44 años,4068
Ambos sexos,Energía y agua,Zona Intermedia,De 45 a 49 años,4799
Ambos sexos,Energía y agua,Zona Intermedia,De 50 a 54 años,4286
Ambos sexos,Energía y agua,Zona Intermedia,De 55 a 59 años,2741
Ambos sexos,Energía y agua,Zona Intermedia,De 60 a 64 años,1081
Ambos sexos,Energía y agua,Zona Intermedia,De 65 a 69 años,105
Ambos sexos,Energía y agua,Zona Intermedia,De 70 a 74 años,41
Ambos sexos,Energía y agua,Zona Intermedia,De 75 y más años,44
Ambos sexos,Energía y agua,Zona Urbana,Total,93004
Ambos sexos,Energía y agua,Zona Urbana,De 16 a 19 años,1108
Ambos sexos,Energía y agua,Zona Urbana,De 20 a 24 años,5493
Ambos sexos,Energía y agua,Zona Urbana,De 25 a 29 años,10562
Ambos sexos,Energía y agua,Zona Urbana,De 30 a 34 años,13217
Ambos sexos,Energía y agua,Zona Urbana,De 35 a 39 años,12216
Ambos sexos,Energía y agua,Zona Urbana,De 40 a 44 años,10799
Ambos sexos,Energía y agua,Zona Urbana,De 45 a 49 años,13038
Ambos sexos,Energía y agua,Zona Urbana,De 50 a 54 años,11721
Ambos sexos,Energía y agua,Zona Urbana,De 55 a 59 años,9542
Ambos sexos,Energía y agua,Zona Urbana,De 60 a 64 años,4475
Ambos sexos,Energía y agua,Zona Urbana,De 65 a 69 años,544
Ambos sexos,Energía y agua,Zona Urbana,De 70 a 74 años,113
Ambos sexos,Energía y agua,Zona Urbana,De 75 y más años,175
Ambos sexos,Construcción,Total nacional,Total,926652
Ambos sexos,Construcción,Total nacional,De 16 a 19 años,58741
Ambos sexos,Construcción,Total nacional,De 20 a 24 años,105085
Ambos sexos,Construcción,Total nacional,De 25 a 29 años,134424
Ambos sexos,Construcción,Total nacional,De 30 a 34 años,137534
Ambos sexos,Construcción,Total nacional,De 35 a 39 años,120885
Ambos sexos,Construcción,Total nacional,De 40 a 44 años,100523
Ambos sexos,Construcción,Total nacional,De 45 a 49 años,100636
Ambos sexos,Construcción,Total nacional,De 50 a 54 años,81807
Ambos sexos,Construcción,Total nacional,De 55 a 59 años,59058
Ambos sexos,Construcción,Total nacional,De 60 a 64 años,24183
Ambos sexos,Construcción,Total nacional,De 65 a 69 años,2206
Ambos sexos,Construcción,Total nacional,De 70 a 74 años,733
Ambos sexos,Construcción,Total nacional,De 75 y más años,836
Ambos sexos,Construcción,Zona Rural,Total,223235
Ambos sexos,Construcción,Zona Rural,De 16 a 19 años,21834
Ambos sexos,Construcción,Zona Rural,De 20 a 24 años,32989
Ambos sexos,Construcción,Zona Rural,De 25 a 29 años,35279
Ambos sexos,Construcción,Zona Rural,De 30 a 34 años,31512
Ambos sexos,Construcción,Zona Rural,De 35 a 39 años,26179
Ambos sexos,Construcción,Zona Rural,De 40 a 44 años,20281
Ambos sexos,Construcción,Zona Rural,De 45 a 49 años,21022
Ambos sexos,Construcción,Zona Rural,De 50 a 54 años,16570
Ambos sexos,Construcción,Zona Rural,De 55 a 59 años,11518
Ambos sexos,Construcción,Zona Rural,De 60 a 64 años,5108
Ambos sexos,Construcción,Zona Rural,De 65 a 69 años,471
Ambos sexos,Construcción,Zona Rural,De 70 a 74 años,219
Ambos sexos,Construcción,Zona Rural,De 75 y más años,253
