sexo,sectoreseconómicos,ámbitopoblacional,gruposdeedad,total
Varones,Total,Zona Intermedia,De 30 a 34 años,177488
Varones,Total,Zona Intermedia,De 35 a 39 años,160996
Varones,Total,Zona Intermedia,De 40 a 44 años,147161
Varones,Total,Zona Intermedia,De 45 a 49 años,168911
Varones,Total,Zona Intermedia,De 50 a 54 años,150423
Varones,Total,Zona Intermedia,De 55 a 59 años,120672
Varones,Total,Zona Intermedia,De 60 a 64 años,62737
Varones,Total,Zona Intermedia,De 65 a 69 años,9495
Varones,Total,Zona Intermedia,De 70 a 74 años,2775
Varones,Total,Zona Intermedia,De 75 y más años,2304
Varones,Total,Zona Urbana,Total,5006850
Varones,Total,Zona Urbana,De 16 a 19 años,182325
Varones,Total,Zona Urbana,De 20 a 24 años,416125
Varones,Total,Zona Urbana,De 25 a 29 años,639371
Varones,Total,Zona Urbana,De 30 a 34 años,706277
Varones,Total,Zona Urbana,De 35 a 39 años,655728
Varones,Total,Zona Urbana,De 40 a 44 años,568880
Varones,Total,Zona Urbana,De 45 a 49 años,606444
Varones,Total,Zona Urbana,De 50 a 54 años,533723
Varones,Total,Zona Urbana,De 55 a 59 años,423890
Varones,Total,Zona Urbana,De 60 a 64 años,214474
Varones,Total,Zona Urbana,De 65 a 69 años,42285
Varones,Total,Zona Urbana,De 70 a 74 años,9898
Varones,Total,Zona Urbana,De 75 y más años,7430
Varones,Agricultura,Total nacional,Total,1454039
Varones,Agricultura,Total nacional,De 16 a 19 años,85388
Varones,Agricultura,Total nacional,De 20 a 24 años,107620
Varones,Agricultura,Total nacional,De 25 a 29 años,108233
Varones,Agricultura,Total nacional,De 30 a 34 años,112665
Varones,Agricultura,Total nacional,De 35 a 39 años,124753
Varones,Agricultura,Total nacional,De 40 a 44 años,144869
Varones,Agricultura,Total nacional,De 45 a 49 años,204579
Varones,Agricultura,Total nacional,De 50 a 54 años,215734
Varones,Agricultura,Total nacional,De 55 a 59 años,194822
Varones,Agricultura,Total nacional,De 60 a 64 años,122104
Varones,Agricultura,Total nacional,De 65 a 69 años,20262
Varones,Agricultura,Total nacional,De 70 a 74 años,7981
Varones,Agricultura,Total nacional,De 75 y más años,5030
Varones,Agricultura,Zona Rural,Total,858637
Varones,Agricultura,Zona Rural,De 16 a 19 años,53184
Varones,Agricultura,Zona Rural,De 20 a 24 años,64904
Varones,Agricultura,Zona Rural,De 25 a 29 años,62261
Varones,Agricultura,Zona Rural,De 30 a 34 años,64543
Varones,Agricultura,Zona Rural,De 35 a 39 años,70746
Varones,Agricultura,Zona Rural,De 40 a 44 años,80414
Varones,Agricultura,Zona Rural,De 45 a 49 años,117328
Varones,Agricultura,Zona Rural,De 50 a 54 años,127101
Varones,Agricultura,Zona Rural,De 55 a 59 años,117177
Varones,Agricultura,Zona Rural,De 60 a 64 años,77475
Varones,Agricultura,Zona Rural,De 65 a 69 años,14079
Varones,Agricultura,Zona Rural,De 70 a 74 años,5874
Varones,Agricultura,Zona Rural,De 75 y más años,3561
Varones,Agricultura,Zona Intermedia,Total,367279
Varones,Agricultura,Zona Intermedia,De 16 a 19 años,21495
Varones,Agricultura,Zona Intermedia,De 20 a 24 años,27445
Varones,Agricultura,Zona Intermedia,De 25 a 29 años,28165
Varones,Agricultura,Zona Intermedia,De 30 a 34 años,29346
Varones,Agricultura,Zona Intermedia,De 35 a 39 años,32675
Varones,Agricultura,Zona Intermedia,De 40 a 44 años,39025
Varones,Agricultura,Zona Intermedia,De 45 a 49 años,53693
Varones,Agricultura,Zona Intermedia,De 50 a 54 años,54627
Varones,Agricultura,Zona Intermedia,De 55 a 59 años,47302
Varones,Agricultura,Zona Intermedia,De 60 a 64 años,28011
Varones,Agricultura,Zona Intermedia,De 65 a 69 años,3554
Varones,Agricultura,Zona Intermedia,De 70 a 74 años,1209
Varones,Agricultura,Zona Intermedia,De 75 y más años,830
Varones,Agricultura,Zona Urbana,Total,228123
Varones,Agricultura,Zona Urbana,De 16 a 19 años,10705
Varones,Agricultura,Zona Urbana,De 20 a 24 años,15271
Varones,Agricultura,Zona Urbana,De 25 a 29 años,17807
Varones,Agricultura,Zona Urbana,De 30 a 34 años,16776
Varones,Agricultura,Zona Urbana,De 35 a 39 años,21332
Varones,Agricultura,Zona Urbana,De 40 a 44 años,25430
Varones,Agricultura,Zona Urbana,De 45 a 49 años,33559
Varones,Agricultura,Zona Urbana,De 50 a 54 años,34106
Varones,Agricultura,Zona Urbana,De 55 a 59 años,30343
Varones,Agricultura,Zona Urbana,De 60 a 64 años,16617
Varones,Agricultura,Zona Urbana,De 65 a 69 años,2628
Varones,Agricultura,Zona Urbana,De 70 a 74 años,898
Varones,Agricultura,Zona Urbana,De 75 y más años,649
Varones,Energía y agua,Total nacional,Total,163482
Varones,Energía y agua,Total nacional,De 16 a 19 años,2713
Varones,Energía y agua,Total nacional,De 20 a 24 años,11352
Varones,Energía y agua,Total nacional,De 25 a 29 años,19960
Varones,Energía y agua,Total nacional,De 30 a 34 años,22567
Varones,Energía y agua,Total nacional,De 35 a 39 años,20933
Varones,Energía y agua,Total nacional,De 40 a 44 años,18763
Varones,Energía y agua,Total nacional,De 45 a 49 años,23548
Varones,Energía y agua,Total nacional,De 50 a 54 años,20761
Varones,Energía y agua,Total nacional,De 55 a 59 años,15294
Varones,Energía y agua,Total nacional,De 60 a 64 años,6554
Varones,Energía y agua,Total nacional,De 65 a 69 años,707
Varones,Energía y agua,Total nacional,De 70 a 74 años,153
Varones,Energía y agua,Total nacional,De 75 y más años,177
Varones,Energía y agua,Zona Rural,Total,44545
Varones,Energía y agua,Zona Rural,De 16 a 19 años,1125
Varones,Energía y agua,Zona Rural,De 20 a 24 años,4262
Varones,Energía y agua,Zona Rural,De 25 a 29 años,6189
Varones,Energía y agua,Zona Rural,De 30 a 34 años,5688
Varones,Energía y agua,Zona Rural,De 35 a 39 años,5100
Varones,Energía y agua,Zona Rural,De 40 a 44 años,4650
Varones,Energía y agua,Zona Rural,De 45 a 49 años,6531
Varones,Energía y agua,Zona Rural,De 50 a 54 años,5625
Varones,Energía y agua,Zona Rural,De 55 a 59 años,3734
Varones,Energía y agua,Zona Rural,De 60 a 64 años,1376
Varones,Energía y agua,Zona Rural,De 65 a 69 años,160
Varones,Energía y agua,Zona Rural,De 70 a 74 años,50
Varones,Energía y agua,Zona Rural,De 75 y más años,54
Varones,Energía y agua,Zona Intermedia,Total,34764
Varones,Energía y agua,Zona Intermedia,De 16 a 19 años,833
Varones,Energía y agua,Zona Intermedia,De 20 a 24 años,3016
Varones,Energía y agua,Zona Intermedia,De 25 a 29 años,4894
Varones,Energía y agua,Zona Intermedia,De 30 a 34 años,4937
Varones,Energía y agua,Zona Intermedia,De 35 a 39 años,4463
Varones,Energía y agua,Zona Intermedia,De 40 a 44 años,3994
Varones,Energía y agua,Zona Intermedia,De 45 a 49 años,4664
Varones,Energía y agua,Zona Intermedia,De 50 a 54 años,4146
Varones,Energía y agua,Zona Intermedia,De 55 a 59 años,2633
Varones,Energía y agua,Zona Intermedia,De 60 a 64 años,1037
Varones,Energía y agua,Zona Intermedia,De 65 a 69 años,101
Varones,Energía y agua,Zona Intermedia,De 70 a 74 años,26
Varones,Energía y agua,Zona Intermedia,De 75 y más años,21
Varones,Energía y agua,Zona Urbana,Total,84173
Varones,Energía y agua,Zona Urbana,De 16 a 19 años,755
Varones,Energía y agua,Zona Urbana,De 20 a 24 años,4073
Varones,Energía y agua,Zona Urbana,De 25 a 29 años,8877
Varones,Energía y agua,Zona Urbana,De 30 a 34 años,11942
Varones,Energía y agua,Zona Urbana,De 35 a 39 años,11370
Varones,Energía y agua,Zona Urbana,De 40 a 44 años,10118
Varones,Energía y agua,Zona Urbana,De 45 a 49 años,12354
Varones,Energía y agua,Zona Urbana,De 50 a 54 años,10990
Varones,Energía y agua,Zona Urbana,De 55 a 59 años,8927
Varones,Energía y agua,Zona Urbana,De 60 a 64 años,4142
Varones,Energía y agua,Zona Urbana,De 65 a 69 años,446
Varones,Energía y agua,Zona Urbana,De 70 a 74 años,78
Varones,Energía y agua,Zona Urbana,De 75 y más años,101
Varones,Construcción,Total nacional,Total,906618
Varones,Construcción,Total nacional,De 16 a 19 años,56803
Varones,Construcción,Total nacional,De 20 a 24 años,98945
Varones,Construcción,Total nacional,De 25 a 29 años,129767
Varones,Construcción,Total nacional,De 30 a 34 años,135245
Varones,Construcción,Total nacional,De 35 a 39 años,119600
Varones,Construcción,Total nacional,De 40 a 44 años,99645
Varones,Construcción,Total nacional,De 45 a 49 años,99831
Varones,Construcción,Total nacional,De 50 a 54 años,81013
Varones,Construcción,Total nacional,De 55 a 59 años,58409
Varones,Construcción,Total nacional,De 60 a 64 años,23846
Varones,Construcción,Total nacional,De 65 a 69 años,2135
Varones,Construcción,Total nacional,De 70 a 74 años,695
Varones,Construcción,Total nacional,De 75 y más años,785
Varones,Construcción,Zona Rural,Total,220814
Varones,Construcción,Zona Rural,De 16 a 19 años,21465
Varones,Construcción,Zona Rural,De 20 a 24 años,32265
Varones,Construcción,Zona Rural,De 25 a 29 años,34804
Varones,Construcción,Zona Rural,De 30 a 34 años,31261
Varones,Construcción,Zona Rural,De 35 a 39 años,26001
Varones,Construcción,Zona Rural,De 40 a 44 años,20162
Varones,Construcción,Zona Rural,De 45 a 49 años,20936
Varones,Construcción,Zona Rural,De 50 a 54 años,16453
Varones,Construcción,Zona Rural,De 55 a 59 años,11466
Varones,Construcción,Zona Rural,De 60 a 64 años,5084
Varones,Construcción,Zona Rural,De 65 a 69 años,461
Varones,Construcción,Zona Rural,De 70 a 74 años,209
Varones,Construcción,Zona Rural,De 75 y más años,245
Varones,Construcción,Zona Intermedia,Total,198121
Varones,Construcción,Zona Intermedia,De 16 a 19 años,15683
Varones,Construcción,Zona Intermedia,De 20 a 24 años,25297
Varones,Construcción,Zona Intermedia,De 25 a 29 años,31087
Varones,Construcción,Zona Intermedia,De 30 a 34 años,29913
Varones,Construcción,Zona Intermedia,De 35 a 39 años,25260
Varones,Construcción,Zona Intermedia,De 40 a 44 años,20541
Varones,Construcción,Zona Intermedia,De 45 a 49 años,19733
Varones,Construcción,Zona Intermedia,De 50 a 54 años,15392
Varones,Construcción,Zona Intermedia,De 55 a 59 años,10624
Varones,Construcción,Zona Intermedia,De 60 a 64 años,3919
Varones,Construcción,Zona Intermedia,De 65 a 69 años,377
Varones,Construcción,Zona Intermedia,De 70 a 74 años,93
Varones,Construcción,Zona Intermedia,De 75 y más años,202
Varones,Construcción,Zona Urbana,Total,487683
Varones,Construcción,Zona Urbana,De 16 a 19 años,19655
Varones,Construcción,Zona Urbana,De 20 a 24 años,41382
Varones,Construcción,Zona Urbana,De 25 a 29 años,63875
Varones,Construcción,Zona Urbana,De 30 a 34 años,74071
Varones,Construcción,Zona Urbana,De 35 a 39 años,68240
Varones,Construcción,Zona Urbana,De 40 a 44 años,58941
Varones,Construcción,Zona Urbana,De 45 a 49 años,69161
Varones,Construcción,Zona Urbana,De 50 a 54 años,49168
Varones,Construcción,Zona Urbana,De 55 a 59 años,36319
Varones,Construcción,Zona Urbana,De 60 a 64 años,14843
Varones,Construcción,Zona Urbana,De 65 a 69 años,1297
Varones,Construcción,Zona Urbana,De 70 a 74 años,393
Varones,Construcción,Zona Urbana,De 75 y más años,338
Varones,Industria,Total nacional,Total,2245718
Varones,Industria,Total nacional,De 16 a 19 años,94558
Varones,Industria,Total nacional,De 20 a 24 años,201671
Varones,Industria,Total nacional,De 25 a 29 años,289776
Varones,Industria,Total nacional,De 30 a 34 años,324343
Varones,Industria,Total nacional,De 35 a 39 años,305273
Varones,Industria,Total nacional,De 40 a 44 años,265059
Varones,Industria,Total nacional,De 45 a 49 años,279107
Varones,Industria,Total nacional,De 50 a 54 años,237103
Varones,Industria,Total nacional,De 55 a 59 años,169894
Varones,Industria,Total nacional,De 60 a 64 años,67489
Varones,Industria,Total nacional,De 65 a 69 años,7255
Varones,Industria,Total nacional,De 70 a 74 años,2297
Varones,Industria,Total nacional,De 75 y más años,1893
Varones,Industria,Zona Rural,Total,279907
Varones,Industria,Zona Rural,De 16 a 19 años,16785
Varones,Industria,Zona Rural,De 20 a 24 años,31173
Varones,Industria,Zona Rural,De 25 a 29 años,39107
Varones,Industria,Zona Rural,De 30 a 34 años,37045
Varones,Industria,Zona Rural,De 35 a 39 años,33376
Varones,Industria,Zona Rural,De 40 a 44 años,28545
Varones,Industria,Zona Rural,De 45 a 49 años,32910
Varones,Industria,Zona Rural,De 50 a 54 años,29209
Varones,Industria,Zona Rural,De 55 a 59 años,21111
Varones,Industria,Zona Rural,De 60 a 64 años,8930
Varones,Industria,Zona Rural,De 65 a 69 años,972
Varones,Industria,Zona Rural,De 70 a 74 años,386
Varones,Industria,Zona Rural,De 75 y más años,358
Varones,Industria,Zona Intermedia,Total,348726
Varones,Industria,Zona Intermedia,De 16 a 19 años,20744
Varones,Industria,Zona Intermedia,De 20 a 24 años,37734
Varones,Industria,Zona Intermedia,De 25 a 29 años,48939
Varones,Industria,Zona Intermedia,De 30 a 34 años,49856
Varones,Industria,Zona Intermedia,De 35 a 39 años,43478
Varones,Industria,Zona Intermedia,De 40 a 44 años,36547
Varones,Industria,Zona Intermedia,De 45 a 49 años,40459
Varones,Industria,Zona Intermedia,De 50 a 54 años,34111
Varones,Industria,Zona Intermedia,De 55 a 59 años,25328
Varones,Industria,Zona Intermedia,De 60 a 64 años,9889
Varones,Industria,Zona Intermedia,De 65 a 69 años,1018
Varones,Industria,Zona Intermedia,De 70 a 74 años,355
Varones,Industria,Zona Intermedia,De 75 y más años,270
Varones,Industria,Zona Urbana,Total,1617085
Varones,Industria,Zona Urbana,De 16 a 19 años,57029
Varones,Industria,Zona Urbana,De 20 a 24 años,132764
Varones,Industria,Zona Urbana,De 25 a 29 años,201730
Varones,Industria,Zona Urbana,De 30 a 34 años,237442
Varones,Industria,Zona Urbana,De 35 a 39 años,228419
Varones,Industria,Zona Urbana,De 40 a 44 años,199967
Varones,Industria,Zona Urbana,De 45 a 49 años,205738
Varones,Industria,Zona Urbana,De 50 a 54 años,173784
Varones,Industria,Zona Urbana,De 55 a 59 años,123455
Varones,Industria,Zona Urbana,De 60 a 64 años,48670
Varones,Industria,Zona Urbana,De 65 a 69 años,5265
Varones,Industria,Zona Urbana,De 70 a 74 años,1557
Varones,Industria,Zona Urbana,De 75 y más años,1265
Varones,Servicios,Total nacional,Total,3311734
Varones,Servicios,Total nacional,De 16 a 19 años,136761
Varones,Servicios,Total nacional,De 20 a 24 años,302360
Varones,Servicios,Total nacional,De 25 a 29 años,459650
Varones,Servicios,Total nacional,De 30 a 34 años,462925
Varones,Servicios,Total nacional,De 35 a 39 años,410505
Varones,Servicios,Total nacional,De 40 a 44 años,343928
Varones,Servicios,Total nacional,De 45 a 49 años,372277
Varones,Servicios,Total nacional,De 50 a 54 años,329948
Varones,Servicios,Total nacional,De 55 a 59 años,276807
Varones,Servicios,Total nacional,De 60 a 64 años,161223
Varones,Servicios,Total nacional,De 65 a 69 años,39900
Varones,Servicios,Total nacional,De 70 a 74 años,8851
Varones,Servicios,Total nacional,De 75 y más años,6600
Varones,Servicios,Zona Rural,Total,380302
Varones,Servicios,Zona Rural,De 16 a 19 años,22878
Varones,Servicios,Zona Rural,De 20 a 24 años,44867
Varones,Servicios,Zona Rural,De 25 a 29 años,58430
Varones,Servicios,Zona Rural,De 30 a 34 años,49947
Varones,Servicios,Zona Rural,De 35 a 39 años,42714
Varones,Servicios,Zona Rural,De 40 a 44 años,35484
Varones,Servicios,Zona Rural,De 45 a 49 años,40314
Varones,Servicios,Zona Rural,De 50 a 54 años,34839
Varones,Servicios,Zona Rural,De 55 a 59 años,27770
Varones,Servicios,Zona Rural,De 60 a 64 años,16743
Varones,Servicios,Zona Rural,De 65 a 69 años,4128
Varones,Servicios,Zona Rural,De 70 a 74 años,1209
Varones,Servicios,Zona Rural,De 75 y más años,978
Varones,Servicios,Zona Intermedia,Total,436544
Varones,Servicios,Zona Intermedia,De 16 a 19 años,23100
Varones,Servicios,Zona Intermedia,De 20 a 24 años,42501
Varones,Servicios,Zona Intermedia,De 25 a 29 años,64112
Varones,Servicios,Zona Intermedia,De 30 a 34 años,61150
Varones,Servicios,Zona Intermedia,De 35 a 39 años,53093
Varones,Servicios,Zona Intermedia,De 40 a 44 años,45178
Varones,Servicios,Zona Intermedia,De 45 a 49 años,48404
Varones,Servicios,Zona Intermedia,De 50 a 54 años,40469
Varones,Servicios,Zona Intermedia,De 55 a 59 años,33262
Varones,Servicios,Zona Intermedia,De 60 a 64 años,19054
Varones,Servicios,Zona Intermedia,De 65 a 69 años,4296
Varones,Servicios,Zona Intermedia,De 70 a 74 años,1036
Varones,Servicios,Zona Intermedia,De 75 y más años,888
Varones,Servicios,Zona Urbana,Total,2494888
Varones,Servicios,Zona Urbana,De 16 a 19 años,90783
Varones,Servicios,Zona Urbana,De 20 a 24 años,214992
Varones,Servicios,Zona Urbana,De 25 a 29 años,337107
Varones,Servicios,Zona Urbana,De 30 a 34 años,351829
Varones,Servicios,Zona Urbana,De 35 a 39 años,314698
Varones,Servicios,Zona Urbana,De 40 a 44 años,263267
Varones,Servicios,Zona Urbana,De 45 a 49 años,283558
Varones,Servicios,Zona Urbana,De 50 a 54 años,254639
Varones,Servicios,Zona Urbana,De 55 a 59 años,215774
Varones,Servicios,Zona Urbana,De 60 a 64 años,125426
Varones,Servicios,Zona Urbana,De 65 a 69 años,31476
Varones,Servicios,Zona Urbana,De 70 a 74 años,6606
Varones,Servicios,Zona Urbana,De 75 y más años,4733
Varones,No bien especificados,Total nacional,Total,132947
Varones,No bien especificados,Total nacional,De 16 a 19 años,5232
Varones,No bien especificados,Total nacional,De 20 a 24 años,11301
Varones,No bien especificados,Total nacional,De 25 a 29 años,14874
Varones,No bien especificados,Total nacional,De 30 a 34 años,16908
Varones,No bien especificados,Total nacional,De 35 a 39 años,16271
Varones,No bien especificados,Total nacional,De 40 a 44 años,14986
Varones,No bien especificados,Total nacional,De 45 a 49 años,16567
Varones,No bien especificados,Total nacional,De 50 a 54 años,15000
Varones,No bien especificados,Total nacional,De 55 a 59 años,12369
Varones,No bien especificados,Total nacional,De 60 a 64 años,6723
Varones,No bien especificados,Total nacional,De 65 a 69 años,1603
Varones,No bien especificados,Total nacional,De 70 a 74 años,551
Varones,No bien especificados,Total nacional,De 75 y más años,564
Varones,No bien especificados,Zona Rural,Total,21271
Varones,No bien especificados,Zona Rural,De 16 a 19 años,1059
Varones,No bien especificados,Zona Rural,De 20 a 24 años,2202
Varones,No bien especificados,Zona Rural,De 25 a 29 años,2928
Varones,No bien especificados,Zona Rural,De 30 a 34 años,2403
Varones,No bien especificados,Zona Rural,De 35 a 39 años,2574
Varones,No bien especificados,Zona Rural,De 40 a 44 años,1952
Varones,No bien especificados,Zona Rural,De 45 a 49 años,2534
Varones,No bien especificados,Zona Rural,De 50 a 54 años,2186
Varones,No bien especificados,Zona Rural,De 55 a 59 años,1775
Varones,No bien especificados,Zona Rural,De 60 a 64 años,1120
Varones,No bien especificados,Zona Rural,De 65 a 69 años,283
Varones,No bien especificados,Zona Rural,De 70 a 74 años,126
Varones,No bien especificados,Zona Rural,De 75 y más años,128
Varones,No bien especificados,Zona Intermedia,Total,16779
Varones,No bien especificados,Zona Intermedia,De 16 a 19 años,778
Varones,No bien especificados,Zona Intermedia,De 20 a 24 años,1456
Varones,No bien especificados,Zona Intermedia,De 25 a 29 años,1971
Varones,No bien especificados,Zona Intermedia,De 30 a 34 años,2287
Varones,No bien especificados,Zona Intermedia,De 35 a 39 años,2028
Varones,No bien especificados,Zona Intermedia,De 40 a 44 años,1876
Varones,No bien especificados,Zona Intermedia,De 45 a 49 años,1959
Varones,No bien especificados,Zona Intermedia,De 50 a 54 años,1777
Varones,No bien especificados,Zona Intermedia,De 55 a 59 años,1522
Varones,No bien especificados,Zona Intermedia,De 60 a 64 años,827
Varones,No bien especificados,Zona Intermedia,De 65 a 69 años,149
Varones,No bien especificados,Zona Intermedia,De 70 a 74 años,57
Varones,No bien especificados,Zona Intermedia,De 75 y más años,92
Varones,No bien especificados,Zona Urbana,Total,94897
Varones,No bien especificados,Zona Urbana,De 16 a 19 años,3395
Varones,No bien especificados,Zona Urbana,De 20 a 24 años,7642
Varones,No bien especificados,Zona Urbana,De 25 a 29 años,9975
Varones,No bien especificados,Zona Urbana,De 30 a 34 años,12218
Varones,No bien especificados,Zona Urbana,De 35 a 39 años,11670
Varones,No bien especificados,Zona Urbana,De 40 a 44 años,11158
Varones,No bien especificados,Zona Urbana,De 45 a 49 años,12074
Varones,No bien especificados,Zona Urbana,De 50 a 54 años,11036
Varones,No bien especificados,Zona Urbana,De 55 a 59 años,9071
Varones,No bien especificados,Zona Urbana,De 60 a 64 años,4776
Varones,No bien especificados,Zona Urbana,De 65 a 69 años,1171
Varones,No bien especificados,Zona Urbana,De 70 a 74 años,367
Varones,No bien especificados,Zona Urbana,De 75 y más años,344
Mujeres,Total,Total nacional,Total,2510043
Mujeres,Total,Total nacional,De 16 a 19 años,232854
Mujeres,Total,Total nacional,De 20 a 24 años,507305
Mujeres,Total,Total nacional,De 25 a 29 años,390454
Mujeres,Total,Total nacional,De 30 a 34 años,281278
Mujeres,Total,Total nacional,De 35 a 39 años,211519
Mujeres,Total,Total nacional,De 40 a 44 años,177188
Mujeres,Total,Total nacional,De 45 a 49 años,200867
Mujeres,Total,Total nacional,De 50 a 54 años,191739
Mujeres,Total,Total nacional,De 55 a 59 años,164595
Mujeres,Total,Total nacional,De 60 a 64 años,103222
Mujeres,Total,Total nacional,De 65 a 69 años,30311
Mujeres,Total,Total nacional,De 70 a 74 años,10133
Mujeres,Total,Total nacional,De 75 y más años,8578
Mujeres,Total,Zona Rural,Total,467664
Mujeres,Total,Zona Rural,De 16 a 19 años,49115
Mujeres,Total,Zona Rural,De 20 a 24 años,76951
Mujeres,Total,Zona Rural,De 25 a 29 años,50264
Mujeres,Total,Zona Rural,De 30 a 34 años,38578
Mujeres,Total,Zona Rural,De 35 a 39 años,35928
Mujeres,Total,Zona Rural,De 40 a 44 años,36303
Mujeres,Total,Zona Rural,De 45 a 49 años,45810
Mujeres,Total,Zona Rural,De 50 a 54 años,46795
Mujeres,Total,Zona Rural,De 55 a 59 años,43308
Mujeres,Total,Zona Rural,De 60 a 64 años,30606
Mujeres,Total,Zona Rural,De 65 a 69 años,8377
Mujeres,Total,Zona Rural,De 70 a 74 años,3140
Mujeres,Total,Zona Rural,De 75 y más años,2490
Mujeres,Total,Zona Intermedia,Total,334956
Mujeres,Total,Zona Intermedia,De 16 a 19 años,46858
Mujeres,Total,Zona Intermedia,De 20 a 24 años,77501
Mujeres,Total,Zona Intermedia,De 25 a 29 años,46869
Mujeres,Total,Zona Intermedia,De 30 a 34 años,32362
Mujeres,Total,Zona Intermedia,De 35 a 39 años,25182
Mujeres,Total,Zona Intermedia,De 40 a 44 años,21946
Mujeres,Total,Zona Intermedia,De 45 a 49 años,25429
Mujeres,Total,Zona Intermedia,De 50 a 54 años,23286
Mujeres,Total,Zona Intermedia,De 55 a 59 años,18962
Mujeres,Total,Zona Intermedia,De 60 a 64 años,10811
Mujeres,Total,Zona Intermedia,De 65 a 69 años,3395
Mujeres,Total,Zona Intermedia,De 70 a 74 años,1228
Mujeres,Total,Zona Intermedia,De 75 y más años,1127
Mujeres,Total,Zona Urbana,Total,1707422
Mujeres,Total,Zona Urbana,De 16 a 19 años,136880
Mujeres,Total,Zona Urbana,De 20 a 24 años,352854
Mujeres,Total,Zona Urbana,De 25 a 29 años,293321
Mujeres,Total,Zona Urbana,De 30 a 34 años,210338
Mujeres,Total,Zona Urbana,De 35 a 39 años,150409
Mujeres,Total,Zona Urbana,De 40 a 44 años,118938
Mujeres,Total,Zona Urbana,De 45 a 49 años,129628
Mujeres,Total,Zona Urbana,De 50 a 54 años,121658
Mujeres,Total,Zona Urbana,De 55 a 59 años,102325
Mujeres,Total,Zona Urbana,De 60 a 64 años,61805
Mujeres,Total,Zona Urbana,De 65 a 69 años,18538
Mujeres,Total,Zona Urbana,De 70 a 74 años,5765
Mujeres,Total,Zona Urbana,De 75 y más años,4961
Mujeres,Agricultura,Total nacional,Total,232042
Mujeres,Agricultura,Total nacional,De 16 a 19 años,14198
Mujeres,Agricultura,Total nacional,De 20 a 24 años,16547
Mujeres,Agricultura,Total nacional,De 25 a 29 años,12238
Mujeres,Agricultura,Total nacional,De 30 a 34 años,14531
Mujeres,Agricultura,Total nacional,De 35 a 39 años,17219
Mujeres,Agricultura,Total nacional,De 40 a 44 años,21974
Mujeres,Agricultura,Total nacional,De 45 a 49 años,31320
Mujeres,Agricultura,Total nacional,De 50 a 54 años,34929
Mujeres,Agricultura,Total nacional,De 55 a 59 años,34581
Mujeres,Agricultura,Total nacional,De 60 a 64 años,25095
Mujeres,Agricultura,Total nacional,De 65 a 69 años,5810
Mujeres,Agricultura,Total nacional,De 70 a 74 años,2104
Mujeres,Agricultura,Total nacional,De 75 y más años,1496
Mujeres,Agricultura,Zona Rural,Total,195665
Mujeres,Agricultura,Zona Rural,De 16 a 19 años,9701
Mujeres,Agricultura,Zona Rural,De 20 a 24 años,11731
Mujeres,Agricultura,Zona Rural,De 25 a 29 años,9371
Mujeres,Agricultura,Zona Rural,De 30 a 34 años,12217
Mujeres,Agricultura,Zona Rural,De 35 a 39 años,14984
Mujeres,Agricultura,Zona Rural,De 40 a 44 años,18984
Mujeres,Agricultura,Zona Rural,De 45 a 49 años,27154
Mujeres,Agricultura,Zona Rural,De 50 a 54 años,30364
Mujeres,Agricultura,Zona Rural,De 55 a 59 años,29969
Mujeres,Agricultura,Zona Rural,De 60 a 64 años,22520
Mujeres,Agricultura,Zona Rural,De 65 a 69 años,5372
Mujeres,Agricultura,Zona Rural,De 70 a 74 años,1977
Mujeres,Agricultura,Zona Rural,De 75 y más años,1320
Mujeres,Agricultura,Zona Intermedia,Total,22032
Mujeres,Agricultura,Zona Intermedia,De 16 a 19 años,2912
Mujeres,Agricultura,Zona Intermedia,De 20 a 24 años,2812
Mujeres,Agricultura,Zona Intermedia,De 25 a 29 años,1512
Mujeres,Agricultura,Zona Intermedia,De 30 a 34 años,1140
Mujeres,Agricultura,Zona Intermedia,De 35 a 39 años,1285
Mujeres,Agricultura,Zona Intermedia,De 40 a 44 años,1907
Mujeres,Agricultura,Zona Intermedia,De 45 a 49 años,2651
Mujeres,Agricultura,Zona Intermedia,De 50 a 54 años,2864
Mujeres,Agricultura,Zona Intermedia,De 55 a 59 años,2910
Mujeres,Agricultura,Zona Intermedia,De 60 a 64 años,1674
Mujeres,Agricultura,Zona Intermedia,De 65 a 69 años,240
Mujeres,Agricultura,Zona Intermedia,De 70 a 74 años,50
Mujeres,Agricultura,Zona Intermedia,De 75 y más años,77
Mujeres,Agricultura,Zona Urbana,Total,14346
Mujeres,Agricultura,Zona Urbana,De 16 a 19 años,1585
Mujeres,Agricultura,Zona Urbana,De 20 a 24 años,2004
Mujeres,Agricultura,Zona Urbana,De 25 a 29 años,1356
Mujeres,Agricultura,Zona Urbana,De 30 a 34 años,1174
Mujeres,Agricultura,Zona Urbana,De 35 a 39 años,950
Mujeres,Agricultura,Zona Urbana,De 40 a 44 años,1084
Mujeres,Agricultura,Zona Urbana,De 45 a 49 años,1514
Mujeres,Agricultura,Zona Urbana,De 50 a 54 años,1701
Mujeres,Agricultura,Zona Urbana,De 55 a 59 años,1702
Mujeres,Agricultura,Zona Urbana,De 60 a 64 años,902
Mujeres,Agricultura,Zona Urbana,De 65 a 69 años,198
Mujeres,Agricultura,Zona Urbana,De 70 a 74 años,77
Mujeres,Agricultura,Zona Urbana,De 75 y más años,99
