ámbitoterritorial,tasadeactividad,sexo,total
Municipios de 3.001 a 5.000 hab.,Tasa de actividad,Varones,71.61
Municipios de 3.001 a 5.000 hab.,Tasa de actividad,Mujeres,19.15
Municipios de 2.001 a 3.000 hab.,Total,Ambos sexos,1066167
Municipios de 2.001 a 3.000 hab.,Total,Varones,528756
Municipios de 2.001 a 3.000 hab.,Total,Mujeres,537411
Municipios de 2.001 a 3.000 hab.,Activos,Ambos sexos,467035
Municipios de 2.001 a 3.000 hab.,Activos,Varones,372390
Municipios de 2.001 a 3.000 hab.,Activos,Mujeres,94645
Municipios de 2.001 a 3.000 hab.,Tasa de actividad,Ambos sexos,43.81
Municipios de 2.001 a 3.000 hab.,Tasa de actividad,Varones,70.43000000000001
Municipios de 2.001 a 3.000 hab.,Tasa de actividad,Mujeres,17.61
Municipios de 1.001 a 2.000 hab.,Total,Ambos sexos,1160684
Municipios de 1.001 a 2.000 hab.,Total,Varones,580846
Municipios de 1.001 a 2.000 hab.,Total,Mujeres,579837
Municipios de 1.001 a 2.000 hab.,Activos,Ambos sexos,488538
Municipios de 1.001 a 2.000 hab.,Activos,Varones,398552
Municipios de 1.001 a 2.000 hab.,Activos,Mujeres,89986
Municipios de 1.001 a 2.000 hab.,Tasa de actividad,Ambos sexos,42.09
Municipios de 1.001 a 2.000 hab.,Tasa de actividad,Varones,68.62
Municipios de 1.001 a 2.000 hab.,Tasa de actividad,Mujeres,15.52
Municipios de 501 a 1.000 hab.,Total,Ambos sexos,759621
Municipios de 501 a 1.000 hab.,Total,Varones,383136
Municipios de 501 a 1.000 hab.,Total,Mujeres,376485
Municipios de 501 a 1.000 hab.,Activos,Ambos sexos,310686
Municipios de 501 a 1.000 hab.,Activos,Varones,255512
Municipios de 501 a 1.000 hab.,Activos,Mujeres,55174
Municipios de 501 a 1.000 hab.,Tasa de actividad,Ambos sexos,40.9
Municipios de 501 a 1.000 hab.,Tasa de actividad,Varones,66.69
Municipios de 501 a 1.000 hab.,Tasa de actividad,Mujeres,14.66
Municipios de 201 a 500 hab.,Total,Ambos sexos,488832
Municipios de 201 a 500 hab.,Total,Varones,249653
Municipios de 201 a 500 hab.,Total,Mujeres,239179
Municipios de 201 a 500 hab.,Activos,Ambos sexos,192291
Municipios de 201 a 500 hab.,Activos,Varones,162915
Municipios de 201 a 500 hab.,Activos,Mujeres,29375
Municipios de 201 a 500 hab.,Tasa de actividad,Ambos sexos,39.34
Municipios de 201 a 500 hab.,Tasa de actividad,Varones,65.26000000000001
Municipios de 201 a 500 hab.,Tasa de actividad,Mujeres,12.28
Municipios de 101 a 200 hab.,Total,Ambos sexos,126646
Municipios de 101 a 200 hab.,Total,Varones,65888
Municipios de 101 a 200 hab.,Total,Mujeres,60758
Municipios de 101 a 200 hab.,Activos,Ambos sexos,48158
Municipios de 101 a 200 hab.,Activos,Varones,41766
Municipios de 101 a 200 hab.,Activos,Mujeres,6391
Municipios de 101 a 200 hab.,Tasa de actividad,Ambos sexos,38.03
Municipios de 101 a 200 hab.,Tasa de actividad,Varones,63.39
Municipios de 101 a 200 hab.,Tasa de actividad,Mujeres,10.52
Municipios de menos de 101 hab.,Total,Ambos sexos,
Municipios de menos de 101 hab.,Total,Varones,
Municipios de menos de 101 hab.,Total,Mujeres,
Municipios de menos de 101 hab.,Activos,Ambos sexos,
Municipios de menos de 101 hab.,Activos,Varones,
Municipios de menos de 101 hab.,Activos,Mujeres,
Municipios de menos de 101 hab.,Tasa de actividad,Ambos sexos,
Municipios de menos de 101 hab.,Tasa de actividad,Varones,
Municipios de menos de 101 hab.,Tasa de actividad,Mujeres,
Distribución por zonas,Total,Ambos sexos,34319
Distribución por zonas,Total,Varones,17768
Distribución por zonas,Total,Mujeres,16561
Distribución por zonas,Activos,Ambos sexos,12224
Distribución por zonas,Activos,Varones,10634
Distribución por zonas,Activos,Mujeres,1590
Distribución por zonas,Tasa de actividad,Ambos sexos,35.62
Distribución por zonas,Tasa de actividad,Varones,59.88
Distribución por zonas,Tasa de actividad,Mujeres,9.6
Zona urbana,Total,Ambos sexos,16885267
Zona urbana,Total,Varones,7998516
Zona urbana,Total,Mujeres,8886751
Zona urbana,Activos,Ambos sexos,8148807
Zona urbana,Activos,Varones,5953066
Zona urbana,Activos,Mujeres,2195741
Zona urbana,Tasa de actividad,Ambos sexos,48.26
Zona urbana,Tasa de actividad,Varones,74.43000000000001
Zona urbana,Tasa de actividad,Mujeres,24.71
Entidades con más de 500.000 hab.,Total,Ambos sexos,5067266
Entidades con más de 500.000 hab.,Total,Varones,2339936
Entidades con más de 500.000 hab.,Total,Mujeres,2727330
Entidades con más de 500.000 hab.,Activos,Ambos sexos,2467876
Entidades con más de 500.000 hab.,Activos,Varones,1708432
Entidades con más de 500.000 hab.,Activos,Mujeres,759444
Entidades con más de 500.000 hab.,Tasa de actividad,Ambos sexos,48.7
Entidades con más de 500.000 hab.,Tasa de actividad,Varones,73.01000000000001
Entidades con más de 500.000 hab.,Tasa de actividad,Mujeres,27.85
Entidades de 100.001 a 500.00 hab.,Total,Ambos sexos,5302205
Entidades de 100.001 a 500.00 hab.,Total,Varones,2516420
Entidades de 100.001 a 500.00 hab.,Total,Mujeres,2786785
Entidades de 100.001 a 500.00 hab.,Activos,Ambos sexos,2570263
Entidades de 100.001 a 500.00 hab.,Activos,Varones,1881385
Entidades de 100.001 a 500.00 hab.,Activos,Mujeres,688878
Entidades de 100.001 a 500.00 hab.,Tasa de actividad,Ambos sexos,48.48
Entidades de 100.001 a 500.00 hab.,Tasa de actividad,Varones,74.79000000000001
Entidades de 100.001 a 500.00 hab.,Tasa de actividad,Mujeres,24.72
Entidades de 50.001 a 100.00 hab.,Total,Ambos sexos,1873001
Entidades de 50.001 a 100.00 hab.,Total,Varones,894503
Entidades de 50.001 a 100.00 hab.,Total,Mujeres,978499
Entidades de 50.001 a 100.00 hab.,Activos,Ambos sexos,907118
Entidades de 50.001 a 100.00 hab.,Activos,Varones,677990
Entidades de 50.001 a 100.00 hab.,Activos,Mujeres,229128
Entidades de 50.001 a 100.00 hab.,Tasa de actividad,Ambos sexos,48.43
Entidades de 50.001 a 100.00 hab.,Tasa de actividad,Varones,75.8
Entidades de 50.001 a 100.00 hab.,Tasa de actividad,Mujeres,23.42
Entidades de 10.001 a 50.00 hab.,Total,Ambos sexos,4642794
Entidades de 10.001 a 50.00 hab.,Total,Varones,2248657
Entidades de 10.001 a 50.00 hab.,Total,Mujeres,2394137
Entidades de 10.001 a 50.00 hab.,Activos,Ambos sexos,2203550
Entidades de 10.001 a 50.00 hab.,Activos,Varones,1685259
Entidades de 10.001 a 50.00 hab.,Activos,Mujeres,518291
Entidades de 10.001 a 50.00 hab.,Tasa de actividad,Ambos sexos,47.46
Entidades de 10.001 a 50.00 hab.,Tasa de actividad,Varones,74.95
Entidades de 10.001 a 50.00 hab.,Tasa de actividad,Mujeres,21.65
Zona intermedia,Total,Ambos sexos,4633343
Zona intermedia,Total,Varones,2271439
Zona intermedia,Total,Mujeres,2361904
Zona intermedia,Activos,Ambos sexos,2084042
Zona intermedia,Activos,Varones,1655938
Zona intermedia,Activos,Mujeres,428104
Zona intermedia,Tasa de actividad,Ambos sexos,44.98
Zona intermedia,Tasa de actividad,Varones,72.90000000000001
Zona intermedia,Tasa de actividad,Mujeres,18.13
Zona rural,Total,Ambos sexos,5814272
Zona rural,Total,Varones,2898226
Zona rural,Total,Mujeres,2916046
Zona rural,Activos,Ambos sexos,2564176
Zona rural,Activos,Varones,2019891
Zona rural,Activos,Mujeres,544285
Zona rural,Tasa de actividad,Ambos sexos,44.1
Zona rural,Tasa de actividad,Varones,69.69
Zona rural,Tasa de actividad,Mujeres,18.67
