ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Intermedia,De 60 a 64 años,1319
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Intermedia,De 65 a 69 años,146
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Intermedia,De 70 a 74 años,36
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Intermedia,De 75 y más años,30
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,Total,111949
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 16 a 19 años,4506
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 20 a 24 años,11181
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 25 a 29 años,13138
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 30 a 34 años,13994
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 35 a 39 años,13522
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 40 a 44 años,13396
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 45 a 49 años,16532
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 50 a 54 años,13049
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 55 a 59 años,9517
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 60 a 64 años,3517
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 65 a 69 años,377
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 70 a 74 años,112
Extracción de minerales no metálicos ni energéticos. Turberas,Zona Urbana,De 75 y más años,107
Industria química,Total nacional (Ambos sexos),Total,182191
Industria química,Total nacional (Ambos sexos),De 16 a 19 años,5681
Industria química,Total nacional (Ambos sexos),De 20 a 24 años,20854
Industria química,Total nacional (Ambos sexos),De 25 a 29 años,25932
Industria química,Total nacional (Ambos sexos),De 30 a 34 años,25608
Industria química,Total nacional (Ambos sexos),De 35 a 39 años,23339
Industria química,Total nacional (Ambos sexos),De 40 a 44 años,19457
Industria química,Total nacional (Ambos sexos),De 45 a 49 años,21062
Industria química,Total nacional (Ambos sexos),De 50 a 54 años,19154
Industria química,Total nacional (Ambos sexos),De 55 a 59 años,14721
Industria química,Total nacional (Ambos sexos),De 60 a 64 años,5413
Industria química,Total nacional (Ambos sexos),De 65 a 69 años,644
Industria química,Total nacional (Ambos sexos),De 70 a 74 años,157
Industria química,Total nacional (Ambos sexos),De 75 y más años,168
Industria química,Total nacional (Varones),Total,143331
Industria química,Total nacional (Varones),De 16 a 19 años,2826
Industria química,Total nacional (Varones),De 20 a 24 años,9069
Industria química,Total nacional (Varones),De 25 a 29 años,17469
Industria química,Total nacional (Varones),De 30 a 34 años,20986
Industria química,Total nacional (Varones),De 35 a 39 años,20481
Industria química,Total nacional (Varones),De 40 a 44 años,17692
Industria química,Total nacional (Varones),De 45 a 49 años,18944
Industria química,Total nacional (Varones),De 50 a 54 años,17161
Industria química,Total nacional (Varones),De 55 a 59 años,13251
Industria química,Total nacional (Varones),De 60 a 64 años,4713
Industria química,Total nacional (Varones),De 65 a 69 años,519
Industria química,Total nacional (Varones),De 70 a 74 años,114
Industria química,Total nacional (Varones),De 75 y más años,116
Industria química,Total nacional (Mujeres),Total,38860
Industria química,Total nacional (Mujeres),De 16 a 19 años,2856
Industria química,Total nacional (Mujeres),De 20 a 24 años,11795
Industria química,Total nacional (Mujeres),De 25 a 29 años,8462
Industria química,Total nacional (Mujeres),De 30 a 34 años,4623
Industria química,Total nacional (Mujeres),De 35 a 39 años,2858
Industria química,Total nacional (Mujeres),De 40 a 44 años,1764
Industria química,Total nacional (Mujeres),De 45 a 49 años,2117
Industria química,Total nacional (Mujeres),De 50 a 54 años,1993
Industria química,Total nacional (Mujeres),De 55 a 59 años,1469
Industria química,Total nacional (Mujeres),De 60 a 64 años,700
Industria química,Total nacional (Mujeres),De 65 a 69 años,125
Industria química,Total nacional (Mujeres),De 70 a 74 años,44
Industria química,Total nacional (Mujeres),De 75 y más años,51
Industria química,Zona Rural,Total,14815
Industria química,Zona Rural,De 16 a 19 años,603
Industria química,Zona Rural,De 20 a 24 años,1637
Industria química,Zona Rural,De 25 a 29 años,1936
Industria química,Zona Rural,De 30 a 34 años,1780
Industria química,Zona Rural,De 35 a 39 años,1510
Industria química,Zona Rural,De 40 a 44 años,1661
Industria química,Zona Rural,De 45 a 49 años,1752
Industria química,Zona Rural,De 50 a 54 años,1815
Industria química,Zona Rural,De 55 a 59 años,1559
Industria química,Zona Rural,De 60 a 64 años,495
Industria química,Zona Rural,De 65 a 69 años,35
Industria química,Zona Rural,De 70 a 74 años,20
Industria química,Zona Rural,De 75 y más años,10
Industria química,Zona Intermedia,Total,20021
Industria química,Zona Intermedia,De 16 a 19 años,913
Industria química,Zona Intermedia,De 20 a 24 años,2326
Industria química,Zona Intermedia,De 25 a 29 años,2861
Industria química,Zona Intermedia,De 30 a 34 años,2744
Industria química,Zona Intermedia,De 35 a 39 años,2318
Industria química,Zona Intermedia,De 40 a 44 años,1928
Industria química,Zona Intermedia,De 45 a 49 años,2436
Industria química,Zona Intermedia,De 50 a 54 años,2264
Industria química,Zona Intermedia,De 55 a 59 años,1663
Industria química,Zona Intermedia,De 60 a 64 años,519
Industria química,Zona Intermedia,De 65 a 69 años,22
Industria química,Zona Intermedia,De 70 a 74 años,11
Industria química,Zona Intermedia,De 75 y más años,15
Industria química,Zona Urbana,Total,147355
Industria química,Zona Urbana,De 16 a 19 años,4165
Industria química,Zona Urbana,De 20 a 24 años,16891
Industria química,Zona Urbana,De 25 a 29 años,21135
Industria química,Zona Urbana,De 30 a 34 años,21084
Industria química,Zona Urbana,De 35 a 39 años,19511
Industria química,Zona Urbana,De 40 a 44 años,16868
Industria química,Zona Urbana,De 45 a 49 años,16874
Industria química,Zona Urbana,De 50 a 54 años,15075
Industria química,Zona Urbana,De 55 a 59 años,11499
Industria química,Zona Urbana,De 60 a 64 años,4399
Industria química,Zona Urbana,De 65 a 69 años,587
Industria química,Zona Urbana,De 70 a 74 años,126
Industria química,Zona Urbana,De 75 y más años,142
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),Total,390880
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 16 a 19 años,17238
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 20 a 24 años,46488
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 25 a 29 años,56636
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 30 a 34 años,58292
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 35 a 39 años,50598
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 40 a 44 años,42912
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 45 a 49 años,44099
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 50 a 54 años,37558
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 55 a 59 años,25705
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 60 a 64 años,10106
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 65 a 69 años,758
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 70 a 74 años,273
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Ambos sexos),De 75 y más años,217
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),Total,356801
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 16 a 19 años,14852
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 20 a 24 años,35931
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 25 a 29 años,48581
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 30 a 34 años,54427
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 35 a 39 años,48221
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 40 a 44 años,41243
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 45 a 49 años,42392
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 50 a 54 años,36090
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 55 a 59 años,24411
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 60 a 64 años,9584
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 65 a 69 años,678
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 70 a 74 años,208
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Varones),De 75 y más años,182
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),Total,34080
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 16 a 19 años,2386
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 20 a 24 años,10557
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 25 a 29 años,8054
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 30 a 34 años,3866
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 35 a 39 años,2377
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 40 a 44 años,1669
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 45 a 49 años,1707
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 50 a 54 años,1468
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 55 a 59 años,1295
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 60 a 64 años,522
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 65 a 69 años,80
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 70 a 74 años,65
Fabricación de productos metálicos (menos máquinas y material de transporte),Total nacional (Mujeres),De 75 y más años,35
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,Total,40632
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 16 a 19 años,2860
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 20 a 24 años,6710
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 25 a 29 años,6697
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 30 a 34 años,5446
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 35 a 39 años,4596
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 40 a 44 años,3591
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 45 a 49 años,3749
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 50 a 54 años,3438
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 55 a 59 años,2302
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 60 a 64 años,1095
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 65 a 69 años,87
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 70 a 74 años,32
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Rural,De 75 y más años,28
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,Total,57921
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 16 a 19 años,3871
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 20 a 24 años,8261
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 25 a 29 años,9301
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 30 a 34 años,8915
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 35 a 39 años,7054
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 40 a 44 años,5498
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 45 a 49 años,5664
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 50 a 54 años,4608
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 55 a 59 años,3222
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 60 a 64 años,1380
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 65 a 69 años,95
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 70 a 74 años,31
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Intermedia,De 75 y más años,20
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,Total,292328
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 16 a 19 años,10507
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 20 a 24 años,31617
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 25 a 29 años,40637
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 30 a 34 años,43931
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 35 a 39 años,38947
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 40 a 44 años,33823
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 45 a 49 años,34685
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 50 a 54 años,29512
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 55 a 59 años,20182
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 60 a 64 años,7631
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 65 a 69 años,577
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 70 a 74 años,210
Fabricación de productos metálicos (menos máquinas y material de transporte),Zona Urbana,De 75 y más años,169
Fabricación de maquinaria,Total nacional (Ambos sexos),Total,268687
Fabricación de maquinaria,Total nacional (Ambos sexos),De 16 a 19 años,7296
Fabricación de maquinaria,Total nacional (Ambos sexos),De 20 a 24 años,30062
Fabricación de maquinaria,Total nacional (Ambos sexos),De 25 a 29 años,42918
Fabricación de maquinaria,Total nacional (Ambos sexos),De 30 a 34 años,45240
Fabricación de maquinaria,Total nacional (Ambos sexos),De 35 a 39 años,37634
Fabricación de maquinaria,Total nacional (Ambos sexos),De 40 a 44 años,30355
Fabricación de maquinaria,Total nacional (Ambos sexos),De 45 a 49 años,29911
Fabricación de maquinaria,Total nacional (Ambos sexos),De 50 a 54 años,23278
Fabricación de maquinaria,Total nacional (Ambos sexos),De 55 a 59 años,15448
Fabricación de maquinaria,Total nacional (Ambos sexos),De 60 a 64 años,6471
Fabricación de maquinaria,Total nacional (Ambos sexos),De 65 a 69 años,658
Fabricación de maquinaria,Total nacional (Ambos sexos),De 70 a 74 años,210
Fabricación de maquinaria,Total nacional (Ambos sexos),De 75 y más años,206
Fabricación de maquinaria,Total nacional (Varones),Total,228286
Fabricación de maquinaria,Total nacional (Varones),De 16 a 19 años,5097
Fabricación de maquinaria,Total nacional (Varones),De 20 a 24 años,18442
Fabricación de maquinaria,Total nacional (Varones),De 25 a 29 años,32203
Fabricación de maquinaria,Total nacional (Varones),De 30 a 34 años,39718
Fabricación de maquinaria,Total nacional (Varones),De 35 a 39 años,34667
Fabricación de maquinaria,Total nacional (Varones),De 40 a 44 años,28335
Fabricación de maquinaria,Total nacional (Varones),De 45 a 49 años,27979
Fabricación de maquinaria,Total nacional (Varones),De 50 a 54 años,21695
Fabricación de maquinaria,Total nacional (Varones),De 55 a 59 años,14307
Fabricación de maquinaria,Total nacional (Varones),De 60 a 64 años,5006
Fabricación de maquinaria,Total nacional (Varones),De 65 a 69 años,557
Fabricación de maquinaria,Total nacional (Varones),De 70 a 74 años,146
Fabricación de maquinaria,Total nacional (Varones),De 75 y más años,133
Fabricación de maquinaria,Total nacional (Mujeres),Total,40402
Fabricación de maquinaria,Total nacional (Mujeres),De 16 a 19 años,2198
Fabricación de maquinaria,Total nacional (Mujeres),De 20 a 24 años,11620
Fabricación de maquinaria,Total nacional (Mujeres),De 25 a 29 años,10715
Fabricación de maquinaria,Total nacional (Mujeres),De 30 a 34 años,5522
Fabricación de maquinaria,Total nacional (Mujeres),De 35 a 39 años,2967
Fabricación de maquinaria,Total nacional (Mujeres),De 40 a 44 años,2020
Fabricación de maquinaria,Total nacional (Mujeres),De 45 a 49 años,1932
Fabricación de maquinaria,Total nacional (Mujeres),De 50 a 54 años,1582
Fabricación de maquinaria,Total nacional (Mujeres),De 55 a 59 años,1141
Fabricación de maquinaria,Total nacional (Mujeres),De 60 a 64 años,465
Fabricación de maquinaria,Total nacional (Mujeres),De 65 a 69 años,100
Fabricación de maquinaria,Total nacional (Mujeres),De 70 a 74 años,66
Fabricación de maquinaria,Total nacional (Mujeres),De 75 y más años,73
Fabricación de maquinaria,Zona Rural,Total,20062
Fabricación de maquinaria,Zona Rural,De 16 a 19 años,1038
Fabricación de maquinaria,Zona Rural,De 20 a 24 años,3127
Fabricación de maquinaria,Zona Rural,De 25 a 29 años,3612
Fabricación de maquinaria,Zona Rural,De 30 a 34 años,3258
Fabricación de maquinaria,Zona Rural,De 35 a 39 años,2427
Fabricación de maquinaria,Zona Rural,De 40 a 44 años,1868
Fabricación de maquinaria,Zona Rural,De 45 a 49 años,1961
Fabricación de maquinaria,Zona Rural,De 50 a 54 años,1345
Fabricación de maquinaria,Zona Rural,De 55 a 59 años,901
Fabricación de maquinaria,Zona Rural,De 60 a 64 años,417
Fabricación de maquinaria,Zona Rural,De 65 a 69 años,50
Fabricación de maquinaria,Zona Rural,De 70 a 74 años,27
Fabricación de maquinaria,Zona Rural,De 75 y más años,31
Fabricación de maquinaria,Zona Intermedia,Total,29459
Fabricación de maquinaria,Zona Intermedia,De 16 a 19 años,1180
Fabricación de maquinaria,Zona Intermedia,De 20 a 24 años,4013
Fabricación de maquinaria,Zona Intermedia,De 25 a 29 años,5153
Fabricación de maquinaria,Zona Intermedia,De 30 a 34 años,5167
Fabricación de maquinaria,Zona Intermedia,De 35 a 39 años,3964
Fabricación de maquinaria,Zona Intermedia,De 40 a 44 años,2767
Fabricación de maquinaria,Zona Intermedia,De 45 a 49 años,2893
Fabricación de maquinaria,Zona Intermedia,De 50 a 54 años,2165
Fabricación de maquinaria,Zona Intermedia,De 55 a 59 años,1499
Fabricación de maquinaria,Zona Intermedia,De 60 a 64 años,498
Fabricación de maquinaria,Zona Intermedia,De 65 a 69 años,93
Fabricación de maquinaria,Zona Intermedia,De 70 a 74 años,32
Fabricación de maquinaria,Zona Intermedia,De 75 y más años,34
Fabricación de maquinaria,Zona Urbana,Total,219166
Fabricación de maquinaria,Zona Urbana,De 16 a 19 años,5079
Fabricación de maquinaria,Zona Urbana,De 20 a 24 años,22922
Fabricación de maquinaria,Zona Urbana,De 25 a 29 años,34153
Fabricación de maquinaria,Zona Urbana,De 30 a 34 años,36815
Fabricación de maquinaria,Zona Urbana,De 35 a 39 años,31244
Fabricación de maquinaria,Zona Urbana,De 40 a 44 años,25720
Fabricación de maquinaria,Zona Urbana,De 45 a 49 años,25057
Fabricación de maquinaria,Zona Urbana,De 50 a 54 años,19768
Fabricación de maquinaria,Zona Urbana,De 55 a 59 años,13047
Fabricación de maquinaria,Zona Urbana,De 60 a 64 años,4556
Fabricación de maquinaria,Zona Urbana,De 65 a 69 años,515
Fabricación de maquinaria,Zona Urbana,De 70 a 74 años,151
Fabricación de maquinaria,Zona Urbana,De 75 y más años,140
Construción de material de transporte,Total nacional (Ambos sexos),Total,256633
Construción de material de transporte,Total nacional (Ambos sexos),De 16 a 19 años,4433
Construción de material de transporte,Total nacional (Ambos sexos),De 20 a 24 años,17194
Construción de material de transporte,Total nacional (Ambos sexos),De 25 a 29 años,34454
Construción de material de transporte,Total nacional (Ambos sexos),De 30 a 34 años,43488
Construción de material de transporte,Total nacional (Ambos sexos),De 35 a 39 años,43882
Construción de material de transporte,Total nacional (Ambos sexos),De 40 a 44 años,35099
Construción de material de transporte,Total nacional (Ambos sexos),De 45 a 49 años,32819
Construción de material de transporte,Total nacional (Ambos sexos),De 50 a 54 años,24301
Construción de material de transporte,Total nacional (Ambos sexos),De 55 a 59 años,15504
Construción de material de transporte,Total nacional (Ambos sexos),De 60 a 64 años,4799
Construción de material de transporte,Total nacional (Ambos sexos),De 65 a 69 años,412
Construción de material de transporte,Total nacional (Ambos sexos),De 70 a 74 años,118
Construción de material de transporte,Total nacional (Ambos sexos),De 75 y más años,130
Construción de material de transporte,Total nacional (Varones),Total,241313
Construción de material de transporte,Total nacional (Varones),De 16 a 19 años,3678
Construción de material de transporte,Total nacional (Varones),De 20 a 24 años,13676
Construción de material de transporte,Total nacional (Varones),De 25 a 29 años,30894
Construción de material de transporte,Total nacional (Varones),De 30 a 34 años,41073
Construción de material de transporte,Total nacional (Varones),De 35 a 39 años,42534
Construción de material de transporte,Total nacional (Varones),De 40 a 44 años,34213
Construción de material de transporte,Total nacional (Varones),De 45 a 49 años,31976
Construción de material de transporte,Total nacional (Varones),De 50 a 54 años,23469
Construción de material de transporte,Total nacional (Varones),De 55 a 59 años,14718
Construción de material de transporte,Total nacional (Varones),De 60 a 64 años,4531
Construción de material de transporte,Total nacional (Varones),De 65 a 69 años,341
Construción de material de transporte,Total nacional (Varones),De 70 a 74 años,90
Construción de material de transporte,Total nacional (Varones),De 75 y más años,120
Construción de material de transporte,Total nacional (Mujeres),Total,15320
Construción de material de transporte,Total nacional (Mujeres),De 16 a 19 años,754
Construción de material de transporte,Total nacional (Mujeres),De 20 a 24 años,3518
Construción de material de transporte,Total nacional (Mujeres),De 25 a 29 años,3560
Construción de material de transporte,Total nacional (Mujeres),De 30 a 34 años,2415
Construción de material de transporte,Total nacional (Mujeres),De 35 a 39 años,1348
Construción de material de transporte,Total nacional (Mujeres),De 40 a 44 años,886
Construción de material de transporte,Total nacional (Mujeres),De 45 a 49 años,844
Construción de material de transporte,Total nacional (Mujeres),De 50 a 54 años,832
Construción de material de transporte,Total nacional (Mujeres),De 55 a 59 años,786
Construción de material de transporte,Total nacional (Mujeres),De 60 a 64 años,267
Construción de material de transporte,Total nacional (Mujeres),De 65 a 69 años,71
Construción de material de transporte,Total nacional (Mujeres),De 70 a 74 años,28
Construción de material de transporte,Total nacional (Mujeres),De 75 y más años,11
Construción de material de transporte,Zona Rural,Total,28659
Construción de material de transporte,Zona Rural,De 16 a 19 años,759
Construción de material de transporte,Zona Rural,De 20 a 24 años,2437
Construción de material de transporte,Zona Rural,De 25 a 29 años,4795
Construción de material de transporte,Zona Rural,De 30 a 34 años,5365
Construción de material de transporte,Zona Rural,De 35 a 39 años,4573
Construción de material de transporte,Zona Rural,De 40 a 44 años,3127
Construción de material de transporte,Zona Rural,De 45 a 49 años,3192
Construción de material de transporte,Zona Rural,De 50 a 54 años,2290
Construción de material de transporte,Zona Rural,De 55 a 59 años,1444
Construción de material de transporte,Zona Rural,De 60 a 64 años,593
Construción de material de transporte,Zona Rural,De 65 a 69 años,46
Construción de material de transporte,Zona Rural,De 70 a 74 años,14
Construción de material de transporte,Zona Rural,De 75 y más años,22
Construción de material de transporte,Zona Intermedia,Total,21164
Construción de material de transporte,Zona Intermedia,De 16 a 19 años,584
Construción de material de transporte,Zona Intermedia,De 20 a 24 años,2111
Construción de material de transporte,Zona Intermedia,De 25 a 29 años,3517
Construción de material de transporte,Zona Intermedia,De 30 a 34 años,4094
Construción de material de transporte,Zona Intermedia,De 35 a 39 años,3271
Construción de material de transporte,Zona Intermedia,De 40 a 44 años,2290
Construción de material de transporte,Zona Intermedia,De 45 a 49 años,2138
Construción de material de transporte,Zona Intermedia,De 50 a 54 años,1518
Construción de material de transporte,Zona Intermedia,De 55 a 59 años,1153
Construción de material de transporte,Zona Intermedia,De 60 a 64 años,427
Construción de material de transporte,Zona Intermedia,De 65 a 69 años,36
Construción de material de transporte,Zona Intermedia,De 70 a 74 años,18
Construción de material de transporte,Zona Intermedia,De 75 y más años,5
Construción de material de transporte,Zona Urbana,Total,206811
Construción de material de transporte,Zona Urbana,De 16 a 19 años,3089
Construción de material de transporte,Zona Urbana,De 20 a 24 años,12645
Construción de material de transporte,Zona Urbana,De 25 a 29 años,26142
Construción de material de transporte,Zona Urbana,De 30 a 34 años,34029
Construción de material de transporte,Zona Urbana,De 35 a 39 años,36039
Construción de material de transporte,Zona Urbana,De 40 a 44 años,29681
Construción de material de transporte,Zona Urbana,De 45 a 49 años,27488
Construción de material de transporte,Zona Urbana,De 50 a 54 años,20494
Construción de material de transporte,Zona Urbana,De 55 a 59 años,12907
Construción de material de transporte,Zona Urbana,De 60 a 64 años,3778
Construción de material de transporte,Zona Urbana,De 65 a 69 años,330
Construción de material de transporte,Zona Urbana,De 70 a 74 años,85
Construción de material de transporte,Zona Urbana,De 75 y más años,103
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),Total,19436
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 16 a 19 años,1043
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 20 a 24 años,3094
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 25 a 29 años,3025
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 30 a 34 años,2708
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 35 a 39 años,2339
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 40 a 44 años,1900
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 45 a 49 años,1695
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 50 a 54 años,1614
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 55 a 59 años,1316
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 60 a 64 años,524
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 65 a 69 años,90
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 70 a 74 años,38
Instrumentos de precisión óptica y similares,Total nacional (Ambos sexos),De 75 y más años,51
Instrumentos de precisión óptica y similares,Total nacional (Varones),Total,14698
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 16 a 19 años,581
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 20 a 24 años,1557
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 25 a 29 años,2018
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 30 a 34 años,2195
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 35 a 39 años,2044
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 40 a 44 años,1648
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 45 a 49 años,1511
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 50 a 54 años,1431
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 55 a 59 años,1123
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 60 a 64 años,473
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 65 a 69 años,74
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 70 a 74 años,25
Instrumentos de precisión óptica y similares,Total nacional (Varones),De 75 y más años,17
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),Total,4739
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 16 a 19 años,462
Instrumentos de precisión óptica y similares,Total nacional (Mujeres),De 20 a 24 años,1537
