ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 75 y más años,6453
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),Total,1375280
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 16 a 19 años,79735
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 20 a 24 años,98866
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 25 a 29 años,98612
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 30 a 34 años,103816
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 35 a 39 años,115836
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 40 a 44 años,136273
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 45 a 49 años,193637
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 50 a 54 años,206529
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 55 a 59 años,188795
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 60 a 64 años,120175
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 65 a 69 años,20093
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 70 a 74 años,7929
"Agricultura, ganadería, silvicultura y caza",Total nacional (Varones),De 75 y más años,4982
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),Total,230307
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 16 a 19 años,14060
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 20 a 24 años,16282
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 25 a 29 años,12024
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 30 a 34 años,14321
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 35 a 39 años,17062
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 40 a 44 años,21798
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 45 a 49 años,31100
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 50 a 54 años,34774
"Agricultura, ganadería, silvicultura y caza",Total nacional (Mujeres),De 55 a 59 años,34478
