period,occupied_total,occupied_industry,occupied_construction,occupied_services,unemployed_total,industry_share,construction_share,services_share,unemployment_share,public_admin_share_wage
1964_1972,12244.917,2962.9167,1079.5834,4165.3335,177.16667,.24187592,.088057183,.33973521,.014267701,.10400363
1973_1981,12438.361,3340.7083,1166.3055,5212.5,865.58331,.268677,.093680806,.41995034,.065065779,.12575237
