		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	flag61	flag62	flag63	flag64	flag65
						
interaction	Treat (W) X Post 1945	-7.925	-4.744	24.341**	1.918	5.572
		(8.787)	(3.891)	(11.591)	(6.989)	(6.890)
interaction2	Treat (M) X Post 1945	2.318	1.720	-4.101	0.008	4.132**
		(5.039)	(1.825)	(2.487)	(2.002)	(1.850)
						
Observations		858	858	858	858	858
R-squared		0.861	0.860	0.866	0.862	0.861
Mun. FE		YES	YES	YES	YES	YES
State X Year FE		YES	YES	YES	YES	YES
Coohrt		0-5	6-14	15-24	25-34	35+
