sheet_raw,series_code,row_description,quarter_label,year,quarter,value,description,date_start,date_end,frequency,units,series_type,sheet,series_label
cuadro_01,1994GG0001,Total economía,1970:II,1970,2,12456.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1970:III,1970,3,12525.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1970:IV,1970,4,12513.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1971:I,1971,1,12637.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1971:II,1971,2,12557.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1971:III,1971,3,12701.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1971:IV,1971,4,12710.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1972:I,1972,1,12898.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1972:II,1972,2,12865.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1972:III,1972,3,13012.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1972:IV,1972,4,13018.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
cuadro_01,1994GG0001,Total economía,1973:I,1973,1,13127.0,Encuesta de Población Activa. Activos. Total economía,1964T1,1992T4,Trimestral,Miles,Posición,cuadro_01,Encuesta de Población Activa. Activos. Total economía
