series_code,series_label,description,sheet,series_type,units,year,annual_mean
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1973,3438.25
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1974,3318.0
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1975,3105.75
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1976,2873.25
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1977,2701.0
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1978,2636.0
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1979,2496.25
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1980,2367.5
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1981,2273.25
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1982,2215.0
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1983,2225.5
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1984,2228.75
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1985,2216.5
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1986,2043.75
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1987,1988.25
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1988,1939.75
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1989,1825.75
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1990,1686.0
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1991,1541.25
1994GG0002,Encuesta de Población Activa. Activos. Agricultura,Encuesta de Población Activa. Activos. Agricultura,cuadro_01,Posición,Miles,1992,1446.0
1994GG0003,Encuesta de Población Activa. Activos. Industria,Encuesta de Población Activa. Activos. Industria,cuadro_01,Posición,Miles,1964,2649.75
